edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,5000186,240,0,100
29,mean,0,5000187,222,0,99
29,mean,0,5000188,272,2,99
29,mean,0,5000189,198,0,100
29,mean,0,5000190,240,0,100
29,mean,0,5000191,274,0,99
29,mean,0,5000192,238,0,99
29,mean,0,5000193,238,0,100
29,mean,0,5000194,258,0,99
29,mean,0,5000195,236,0,100
29,mean,0,5000196,262,0,100
29,mean,0,5000197,264,0,100
29,mean,0,5000198,270,2,99
29,mean,0,5000199,234,0,99
29,mean,0,5000200,256,0,99
29,mean,0,5000201,254,0,99
29,mean,0,5000202,264,2,99
29,mean,0,5000203,234,0,99
29,mean,0,5000204,214,0,99
29,mean,0,5000205,260,0,100
29,mean,0,5000206,242,0,100
29,mean,0,5000207,200,0,99
29,mean,0,5000208,194,0,99
29,mean,0,5000209,274,0,99
29,mean,0,5000210,232,0,99
29,mean,0,5000211,238,0,100
29,mean,0,5000212,262,0,99
29,mean,0,5000213,250,2,99
29,mean,0,5000214,254,0,99
29,mean,0,5000215,240,0,99
29,mean,0,5000216,234,0,100
29,mean,0,5000217,272,0,99
29,mean,0,5000218,248,2,100
29,mean,0,5000219,250,0,100
29,mean,0,5000220,266,0,99
29,mean,0,5000221,238,0,100
29,mean,0,5000222,236,0,100
29,mean,0,5000223,250,0,99
29,mean,0,5000224,228,0,99
29,mean,0,5000225,244,0,100
29,mean,0,5000226,244,0,99
29,mean,0,5000227,252,0,100
29,mean,0,5000228,244,2,99
29,mean,0,5000229,210,0,99
29,mean,0,5000230,280,0,100
29,mean,0,5000231,278,0,99
29,mean,0,5000232,240,0,100
29,mean,0,5000233,278,2,100
29,mean,0,5000234,250,0,99
29,mean,0,5000235,236,0,99
29,mean,0,5000236,234,0,99
29,mean,0,5000237,218,0,99
29,mean,0,5000238,256,0,100
29,mean,0,5000239,272,2,100
29,mean,0,5000240,246,0,100
29,mean,0,5000241,218,0,99
29,mean,0,5000242,230,0,100
29,mean,0,5000243,264,0,100
29,mean,0,5000244,242,0,99
29,mean,0,5000245,222,0,99
29,mean,0,5000246,234,0,99
29,mean,0,5000247,252,0,99
29,mean,0,5000248,270,0,99
29,mean,0,5000249,226,0,99
29,mean,0,5000250,202,0,99
29,mean,0,5000251,264,2,99
29,mean,0,5000252,292,0,100
29,mean,0,5000253,252,0,100
29,mean,0,5000254,232,0,99
29,mean,0,5000255,238,2,99
29,mean,0,5000256,230,2,99
29,mean,0,5000257,250,0,99
29,mean,0,5000258,254,0,100
29,mean,0,5000259,246,0,100
29,mean,0,5000260,208,0,99
29,mean,0,5000261,270,0,100
29,mean,0,5000262,244,0,99
29,mean,0,5000263,238,0,99
29,mean,0,5000264,284,2,99
29,mean,0,5000265,304,2,100
29,mean,0,5000266,268,0,100
29,mean,0,5000267,234,0,100
29,mean,0,5000268,228,0,100
29,mean,0,5000269,250,0,100
29,mean,0,5000270,250,0,99
29,mean,0,5000271,198,0,100
29,mean,0,5000272,230,0,99
29,mean,0,5000273,250,0,99
29,mean,0,5000274,278,0,99
29,mean,0,5000275,288,0,100
29,mean,0,5000276,282,0,99
29,mean,0,5000277,218,0,99
29,mean,0,5000278,226,0,99
29,mean,0,5000279,236,2,99
29,mean,0,5000280,276,0,99
29,mean,0,5000281,256,0,100
29,mean,0,5000282,212,0,99
29,mean,0,5000283,244,0,100
29,mean,0,5000284,252,0,100
29,mean,0,5000285,218,0,99
29,mean,0,5000286,248,0,99
29,mean,0,5000287,246,0,99
29,mean,0,5000288,248,0,99
29,mean,0,5000289,240,0,100
29,mean,0,5000290,260,0,99
29,mean,0,5000291,254,0,99
29,mean,0,5000292,252,0,99
29,mean,0,5000293,236,0,100
29,mean,0,5000294,246,0,100
29,mean,0,5000295,260,0,100
29,mean,0,5000296,278,0,99
29,mean,0,5000297,262,0,99
29,mean,0,5000298,274,0,100
29,mean,0,5000299,208,0,99
29,mean,0,5000300,234,0,99
29,mean,0,5000301,212,0,100
29,mean,0,5000302,260,0,99
29,mean,0,5000303,230,0,100
29,mean,0,5000304,236,0,99
29,mean,0,5000305,266,2,99
29,mean,0,5000306,290,0,99
29,mean,0,5000307,224,0,99
29,mean,0,5000308,234,0,100
29,mean,0,5000309,208,2,99
29,mean,0,5000310,308,0,99
29,mean,0,5000311,210,0,100
29,mean,0,5000312,266,0,99
29,mean,0,5000313,234,2,100
29,mean,0,5000314,284,0,99
29,mean,0,5000315,258,2,100
29,mean,0,5000316,288,2,100
29,mean,0,5000317,234,0,99
29,mean,0,5000318,230,0,100
29,mean,0,5000319,262,0,99
29,mean,0,5000320,198,0,100
29,mean,0,5000321,250,0,100
29,mean,0,5000322,224,0,100
