edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,211,282,0,181
29,mean,0,212,224,2,181
29,mean,0,213,236,0,180
29,mean,0,214,212,0,182
29,mean,0,215,224,0,185
29,mean,0,216,270,4,183
29,mean,0,217,206,0,185
29,mean,0,218,220,0,184
29,mean,0,219,252,0,184
29,mean,0,220,250,0,183
29,mean,0,221,204,0,182
29,mean,0,222,254,0,182
29,mean,0,223,228,0,181
29,mean,0,224,312,0,227
29,mean,0,225,204,0,181
29,mean,0,226,254,0,184
29,mean,0,227,260,0,185
29,mean,0,228,242,0,184
29,mean,0,229,228,0,182
29,mean,0,230,282,0,182
29,mean,0,231,256,0,181
29,mean,0,232,236,0,181
29,mean,0,233,236,0,181
29,mean,0,234,294,2,182
29,mean,0,235,246,2,185
29,mean,0,236,222,0,185
29,mean,0,237,300,0,184
29,mean,0,238,230,0,184
29,mean,0,239,288,4,183
29,mean,0,240,274,0,183
29,mean,0,241,244,0,182
29,mean,0,242,246,2,181
29,mean,0,243,252,0,182
29,mean,0,244,254,0,181
29,mean,0,245,234,0,183
29,mean,0,246,244,0,185
29,mean,0,247,262,0,184
29,mean,0,248,218,0,184
29,mean,0,249,278,0,231
29,mean,0,250,244,0,182
29,mean,0,251,288,0,182
29,mean,0,252,236,0,181
29,mean,0,253,236,0,183
29,mean,0,254,276,0,184
29,mean,0,255,276,4,185
29,mean,0,256,266,0,184
29,mean,0,257,256,0,184
29,mean,0,258,214,0,183
29,mean,0,259,294,0,183
29,mean,0,260,264,0,181
29,mean,0,261,268,0,181
29,mean,0,262,270,0,181
29,mean,0,263,228,0,180
29,mean,0,264,200,0,183
29,mean,0,265,236,0,184
29,mean,0,266,282,0,185
29,mean,0,267,228,0,185
29,mean,0,268,302,0,184
29,mean,0,269,264,0,183
29,mean,0,270,236,0,183
29,mean,0,271,232,0,182
29,mean,0,272,278,0,182
29,mean,0,273,214,0,181
29,mean,0,274,260,0,182
29,mean,0,275,258,0,184
29,mean,0,276,244,0,185
29,mean,0,277,284,0,185
29,mean,0,278,240,0,184
29,mean,0,279,276,0,183
29,mean,0,280,264,0,184
29,mean,0,281,242,0,183
29,mean,0,282,266,0,183
29,mean,0,283,266,0,182
29,mean,0,284,236,0,181
29,mean,0,285,264,2,184
29,mean,0,286,254,2,186
29,mean,0,287,270,0,185
29,mean,0,288,236,0,183
29,mean,0,289,200,0,184
29,mean,0,290,276,0,185
29,mean,0,291,236,0,184
29,mean,0,292,210,0,182
29,mean,0,293,216,0,182
29,mean,0,294,304,0,182
29,mean,0,295,244,0,182
29,mean,0,296,258,0,183
29,mean,0,297,268,2,184
29,mean,0,298,246,0,185
29,mean,0,299,238,0,185
