edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,10000000,248,0,269
29,mean,0,10000001,250,0,266
29,mean,0,10000002,254,0,267
29,mean,0,10000003,254,0,266
29,mean,0,10000004,260,0,266
29,mean,0,10000005,206,0,268
29,mean,0,10000006,242,0,267
29,mean,0,10000007,258,0,267
29,mean,0,10000008,278,0,266
29,mean,0,10000009,260,0,266
29,mean,0,10000010,298,0,331
29,mean,0,10000011,264,0,269
29,mean,0,10000012,228,0,266
29,mean,0,10000013,270,4,267
29,mean,0,10000014,228,0,266
29,mean,0,10000015,296,0,267
29,mean,0,10000016,252,0,267
29,mean,0,10000017,250,0,266
29,mean,0,10000018,196,0,267
29,mean,0,10000019,232,0,266
29,mean,0,10000020,244,0,266
29,mean,0,10000021,242,0,266
29,mean,0,10000022,250,0,267
29,mean,0,10000023,256,0,266
29,mean,0,10000024,256,0,267
29,mean,0,10000025,290,0,266
29,mean,0,10000026,256,0,267
29,mean,0,10000027,244,0,267
29,mean,0,10000028,262,0,266
29,mean,0,10000029,282,4,266
29,mean,0,10000030,240,0,267
29,mean,0,10000031,246,6,267
29,mean,0,10000032,272,0,266
29,mean,0,10000033,202,0,267
29,mean,0,10000034,240,0,266
29,mean,0,10000035,228,2,266
29,mean,0,10000036,268,0,266
29,mean,0,10000037,220,0,268
29,mean,0,10000038,242,0,266
29,mean,0,10000039,238,0,266
29,mean,0,10000040,234,0,266
29,mean,0,10000041,258,2,267
29,mean,0,10000042,236,0,266
29,mean,0,10000043,258,0,266
29,mean,0,10000044,246,0,267
29,mean,0,10000045,220,0,267
29,mean,0,10000046,222,0,266
29,mean,0,10000047,226,0,267
29,mean,0,10000048,236,0,265
29,mean,0,10000049,276,0,267
29,mean,0,10000050,236,0,266
29,mean,0,10000051,266,0,267
29,mean,0,10000052,270,0,267
29,mean,0,10000053,296,0,268
29,mean,0,10000054,246,0,266
29,mean,0,10000055,282,0,266
29,mean,0,10000056,230,0,267
29,mean,0,10000057,234,0,266
29,mean,0,10000058,186,0,266
29,mean,0,10000059,240,0,267
29,mean,0,10000060,216,0,267
29,mean,0,10000061,254,0,266
29,mean,0,10000062,226,0,267
29,mean,0,10000063,228,0,266
29,mean,0,10000064,238,0,268
29,mean,0,10000065,290,2,267
29,mean,0,10000066,246,0,266
29,mean,0,10000067,266,0,267
29,mean,0,10000068,232,0,266
29,mean,0,10000069,240,4,267
29,mean,0,10000070,206,0,267
29,mean,0,10000071,274,0,267
29,mean,0,10000072,314,0,267
29,mean,0,10000073,256,0,267
29,mean,0,10000074,232,0,266
29,mean,0,10000075,236,2,267
29,mean,0,10000076,248,0,266
29,mean,0,10000077,270,0,266
29,mean,0,10000078,270,0,262
29,mean,0,10000079,276,0,266
29,mean,0,10000080,260,0,267
29,mean,0,10000081,288,0,266
29,mean,0,10000082,250,0,268
29,mean,0,10000083,262,0,266
29,mean,0,10000084,296,0,267
29,mean,0,10000085,218,2,267
29,mean,0,10000086,240,0,267
29,mean,0,10000087,228,0,266
29,mean,0,10000088,270,0,267
29,mean,0,10000089,238,0,267
29,mean,0,10000090,244,0,267
29,mean,0,10000091,248,0,267
29,mean,0,10000092,222,0,266
29,mean,0,10000093,242,0,266
29,mean,0,10000094,274,2,267
29,mean,0,10000095,234,0,266
29,mean,0,10000096,228,2,266
29,mean,0,10000097,278,0,268
29,mean,0,10000098,214,0,266
29,mean,0,10000099,332,0,267
29,mean,0,10000100,236,0,266
29,mean,0,10000101,284,0,267
29,mean,0,10000102,244,0,266
29,mean,0,10000103,234,0,267
29,mean,0,10000104,226,0,267
29,mean,0,10000105,256,0,267
29,mean,0,10000106,210,4,267
29,mean,0,10000107,372,0,334
29,mean,0,10000108,272,0,268
29,mean,0,10000109,262,0,268
29,mean,0,10000110,258,0,267
29,mean,0,10000111,248,0,267
29,mean,0,10000112,218,0,267
29,mean,0,10000113,238,0,266
29,mean,0,10000114,228,0,267
29,mean,0,10000115,216,0,267
29,mean,0,10000116,256,0,267
29,mean,0,10000117,256,0,267
29,mean,0,10000118,238,0,266
29,mean,0,10000119,244,0,268
29,mean,0,10000120,254,0,267
29,mean,0,10000121,240,0,266
29,mean,0,10000122,248,0,267
29,mean,0,10000123,266,0,267
29,mean,0,10000124,248,2,266
29,mean,0,10000125,256,0,267
29,mean,0,10000126,258,2,267
29,mean,0,10000127,286,0,331
29,mean,0,10000128,270,0,268
29,mean,0,10000129,226,0,267
29,mean,0,10000130,270,2,267
29,mean,0,10000131,252,0,267
29,mean,0,10000132,224,0,267
29,mean,0,10000133,228,0,266
29,mean,0,10000134,224,0,267
29,mean,0,10000135,234,0,267
29,mean,0,10000136,230,0,266
29,mean,0,10000137,246,0,266
29,mean,0,10000138,226,0,267
29,mean,0,10000139,258,0,266
29,mean,0,10000140,228,0,267
29,mean,0,10000141,282,0,267
29,mean,0,10000142,282,0,266
29,mean,0,10000143,256,0,267
29,mean,0,10000144,248,0,266
29,mean,0,10000145,232,0,267
29,mean,0,10000146,236,0,267
29,mean,0,10000147,244,0,266
29,mean,0,10000148,244,0,266
29,mean,0,10000149,260,0,267
29,mean,0,10000150,276,0,267
29,mean,0,10000151,244,0,266
29,mean,0,10000152,238,0,266
29,mean,0,10000153,282,2,267
29,mean,0,10000154,248,0,266
29,mean,0,10000155,232,0,266
29,mean,0,10000156,234,0,268
29,mean,0,10000157,226,0,266
29,mean,0,10000158,226,0,266
29,mean,0,10000159,224,0,266
29,mean,0,10000160,256,0,267
29,mean,0,10000161,268,0,266
29,mean,0,10000162,220,0,266
29,mean,0,10000163,236,0,267
29,mean,0,10000164,256,0,266
29,mean,0,10000165,254,2,266
29,mean,0,10000166,254,0,266
29,mean,0,10000167,246,0,264
29,mean,0,10000168,232,0,266
29,mean,0,10000169,250,0,267
29,mean,0,10000170,206,0,266
29,mean,0,10000171,286,2,267
29,mean,0,10000172,256,0,266
29,mean,0,10000173,280,0,267
29,mean,0,10000174,258,4,266
29,mean,0,10000175,260,0,267
29,mean,0,10000176,248,0,266
29,mean,0,10000177,224,2,266
29,mean,0,10000178,266,0,267
29,mean,0,10000179,248,0,267
29,mean,0,10000180,244,0,266
29,mean,0,10000181,244,0,267
29,mean,0,10000182,238,0,265
29,mean,0,10000183,244,0,267
29,mean,0,10000184,258,0,266
29,mean,0,10000185,276,0,333
29,mean,0,10000186,268,0,269
29,mean,0,10000187,268,0,267
29,mean,0,10000188,278,2,267
29,mean,0,10000189,226,0,266
29,mean,0,10000190,222,0,267
29,mean,0,10000191,274,0,266
29,mean,0,10000192,278,0,267
29,mean,0,10000193,252,0,267
29,mean,0,10000194,264,2,267
29,mean,0,10000195,210,0,267
29,mean,0,10000196,222,0,266
29,mean,0,10000197,256,0,265
29,mean,0,10000198,320,0,334
29,mean,0,10000199,248,0,268
29,mean,0,10000200,206,0,266
29,mean,0,10000201,266,0,268
29,mean,0,10000202,274,0,267
29,mean,0,10000203,236,0,267
29,mean,0,10000204,234,2,267
29,mean,0,10000205,240,0,267
29,mean,0,10000206,240,0,266
29,mean,0,10000207,272,0,266
29,mean,0,10000208,206,0,268
29,mean,0,10000209,250,6,298
29,mean,0,10000210,262,2,267
29,mean,0,10000211,250,2,265
29,mean,0,10000212,220,2,267
29,mean,0,10000213,290,0,267
29,mean,0,10000214,240,0,266
29,mean,0,10000215,236,0,267
29,mean,0,10000216,264,0,267
29,mean,0,10000217,242,0,267
29,mean,0,10000218,254,0,267
29,mean,0,10000219,264,2,267
29,mean,0,10000220,250,0,267
29,mean,0,10000221,248,0,267
29,mean,0,10000222,216,0,266
29,mean,0,10000223,200,0,267
29,mean,0,10000224,262,2,266
29,mean,0,10000225,246,4,266
29,mean,0,10000226,242,0,265
29,mean,0,10000227,238,0,267
29,mean,0,10000228,242,2,268
29,mean,0,10000229,226,0,267
29,mean,0,10000230,256,0,266
29,mean,0,10000231,258,0,268
29,mean,0,10000232,224,0,266
29,mean,0,10000233,244,0,266
29,mean,0,10000234,238,0,267
29,mean,0,10000235,280,0,266
29,mean,0,10000236,222,2,266
29,mean,0,10000237,258,0,267
29,mean,0,10000238,252,0,268
29,mean,0,10000239,256,0,266
29,mean,0,10000240,268,0,267
29,mean,0,10000241,242,0,265
29,mean,0,10000242,258,0,267
29,mean,0,10000243,232,0,267
29,mean,0,10000244,244,0,266
29,mean,0,10000245,244,0,266
29,mean,0,10000246,292,2,267
29,mean,0,10000247,214,0,267
29,mean,0,10000248,224,0,266
29,mean,0,10000249,244,0,267
29,mean,0,10000250,296,0,266
29,mean,0,10000251,228,0,266
29,mean,0,10000252,258,0,266
29,mean,0,10000253,262,2,335
29,mean,0,10000254,204,0,267
29,mean,0,10000255,244,0,267
29,mean,0,10000256,244,0,265
29,mean,0,10000257,254,0,267
29,mean,0,10000258,242,4,266
29,mean,0,10000259,246,0,267
29,mean,0,10000260,282,0,267
29,mean,0,10000261,262,0,266
29,mean,0,10000262,244,0,266
29,mean,0,10000263,222,0,266
29,mean,0,10000264,248,0,268
29,mean,0,10000265,252,0,266
29,mean,0,10000266,238,0,266
29,mean,0,10000267,224,0,267
29,mean,0,10000268,270,2,267
29,mean,0,10000269,220,0,267
29,mean,0,10000270,252,2,267
29,mean,0,10000271,246,0,266
29,mean,0,10000272,186,0,267
29,mean,0,10000273,228,0,267
29,mean,0,10000274,278,0,266
29,mean,0,10000275,242,0,267
29,mean,0,10000276,254,0,266
29,mean,0,10000277,240,0,266
29,mean,0,10000278,270,0,267
29,mean,0,10000279,250,0,268
29,mean,0,10000280,260,0,266
29,mean,0,10000281,254,0,267
29,mean,0,10000282,278,0,266
29,mean,0,10000283,228,0,267
29,mean,0,10000284,210,0,267
29,mean,0,10000285,236,0,267
29,mean,0,10000286,278,0,266
29,mean,0,10000287,262,0,267
29,mean,0,10000288,252,0,266
29,mean,0,10000289,274,0,266
29,mean,0,10000290,294,0,268
29,mean,0,10000291,212,0,266
29,mean,0,10000292,246,0,267
29,mean,0,10000293,230,0,266
29,mean,0,10000294,258,2,267
29,mean,0,10000295,222,0,266
29,mean,0,10000296,250,0,267
29,mean,0,10000297,284,0,266
29,mean,0,10000298,334,0,267
29,mean,0,10000299,262,0,266
29,mean,0,10000300,274,0,266
29,mean,0,10000301,236,0,266
29,mean,0,10000302,240,0,267
29,mean,0,10000303,228,0,266
29,mean,0,10000304,236,0,266
29,mean,0,10000305,264,0,267
29,mean,0,10000306,208,0,266
29,mean,0,10000307,258,0,267
29,mean,0,10000308,272,0,266
29,mean,0,10000309,260,0,267
29,mean,0,10000310,234,2,267
29,mean,0,10000311,292,0,266
29,mean,0,10000312,226,0,266
29,mean,0,10000313,260,2,267
29,mean,0,10000314,256,2,266
29,mean,0,10000315,222,0,266
29,mean,0,10000316,250,0,267
29,mean,0,10000317,226,0,267
29,mean,0,10000318,258,0,267
29,mean,0,10000319,246,0,266
29,mean,0,10000320,252,0,268
29,mean,0,10000321,248,0,266
29,mean,0,10000322,258,0,267
29,mean,0,10000323,256,0,267
29,mean,0,10000324,230,0,268
29,mean,0,10000325,232,0,267
29,mean,0,10000326,232,0,267
29,mean,0,10000327,258,2,267
29,mean,0,10000328,218,2,269
29,mean,0,10000329,234,0,266
29,mean,0,10000330,230,0,267
29,mean,0,10000331,238,0,264
29,mean,0,10000332,242,0,267
29,mean,0,10000333,226,0,267
29,mean,0,10000334,226,0,266
29,mean,0,10000335,214,0,267
29,mean,0,10000336,234,0,267
29,mean,0,10000337,244,0,266
29,mean,0,10000338,224,0,266
29,mean,0,10000339,190,0,267
29,mean,0,10000340,280,0,266
29,mean,0,10000341,224,0,267
29,mean,0,10000342,200,0,267
29,mean,0,10000343,224,0,267
29,mean,0,10000344,252,0,267
29,mean,0,10000345,274,2,266
29,mean,0,10000346,244,0,266
29,mean,0,10000347,260,2,266
29,mean,0,10000348,214,0,266
29,mean,0,10000349,244,0,267
29,mean,0,10000350,260,0,268
29,mean,0,10000351,202,0,267
29,mean,0,10000352,242,0,267
29,mean,0,10000353,266,2,267
29,mean,0,10000354,238,0,268
29,mean,0,10000355,254,0,267
29,mean,0,10000356,244,0,267
29,mean,0,10000357,246,4,266
29,mean,0,10000358,236,0,268
29,mean,0,10000359,236,2,267
29,mean,0,10000360,248,0,267
29,mean,0,10000361,240,0,265
29,mean,0,10000362,232,0,267
29,mean,0,10000363,184,2,266
29,mean,0,10000364,256,0,267
29,mean,0,10000365,232,2,268
29,mean,0,10000366,264,0,267
29,mean,0,10000367,250,0,266
29,mean,0,10000368,240,0,266
29,mean,0,10000369,226,2,268
29,mean,0,10000370,276,0,267
29,mean,0,10000371,262,0,267
29,mean,0,10000372,270,0,266
29,mean,0,10000373,250,0,266
29,mean,0,10000374,234,0,267
29,mean,0,10000375,268,0,268
29,mean,0,10000376,264,0,266
29,mean,0,10000377,248,0,267
29,mean,0,10000378,224,0,266
29,mean,0,10000379,228,0,266
29,mean,0,10000380,316,0,335
29,mean,0,10000381,238,0,267
29,mean,0,10000382,254,0,267
29,mean,0,10000383,254,0,267
29,mean,0,10000384,264,0,267
29,mean,0,10000385,228,0,267
29,mean,0,10000386,256,0,266
29,mean,0,10000387,248,0,267
29,mean,0,10000388,242,0,266
29,mean,0,10000389,270,0,267
29,mean,0,10000390,304,0,266
29,mean,0,10000391,264,0,268
29,mean,0,10000392,250,0,267
29,mean,0,10000393,262,0,267
29,mean,0,10000394,252,0,267
29,mean,0,10000395,226,0,267
29,mean,0,10000396,240,0,266
29,mean,0,10000397,236,0,267
29,mean,0,10000398,276,0,267
29,mean,0,10000399,270,0,267
29,mean,0,10000400,286,4,266
29,mean,0,10000401,240,0,267
29,mean,0,10000402,262,0,267
29,mean,0,10000403,222,0,267
29,mean,0,10000404,258,0,267
29,mean,0,10000405,258,0,264
29,mean,0,10000406,272,0,267
29,mean,0,10000407,248,0,266
29,mean,0,10000408,238,0,266
29,mean,0,10000409,232,0,266
29,mean,0,10000410,228,0,267
29,mean,0,10000411,254,0,267
29,mean,0,10000412,228,0,267
29,mean,0,10000413,258,0,266
29,mean,0,10000414,202,0,267
29,mean,0,10000415,258,0,267
29,mean,0,10000416,236,0,267
29,mean,0,10000417,260,0,267
29,mean,0,10000418,246,0,267
29,mean,0,10000419,254,0,266
29,mean,0,10000420,240,0,266
29,mean,0,10000421,238,2,267
29,mean,0,10000422,218,0,267
29,mean,0,10000423,248,0,267
29,mean,0,10000424,266,0,267
29,mean,0,10000425,288,0,331
29,mean,0,10000426,226,0,268
29,mean,0,10000427,266,0,266
29,mean,0,10000428,218,0,267
29,mean,0,10000429,326,0,331
29,mean,0,10000430,246,2,268
29,mean,0,10000431,302,0,268
29,mean,0,10000432,244,0,267
29,mean,0,10000433,262,6,267
29,mean,0,10000434,186,0,266
29,mean,0,10000435,322,0,265
29,mean,0,10000436,202,0,267
