edgebits,solver,gpu,nonce,edges,dupes,solve_ms
29,mean,0,89,244,0,267
29,mean,0,90,282,2,267
29,mean,0,91,240,0,266
29,mean,0,92,250,0,266
29,mean,0,93,212,0,267
29,mean,0,94,238,0,266
29,mean,0,95,230,0,266
29,mean,0,96,208,0,266
29,mean,0,97,238,0,267
29,mean,0,98,258,0,267
29,mean,0,99,274,2,266
29,mean,0,100,256,0,267
29,mean,0,101,212,2,267
29,mean,0,102,224,0,267
29,mean,0,103,244,0,267
29,mean,0,104,266,0,268
29,mean,0,105,268,0,267
29,mean,0,106,236,0,267
29,mean,0,107,248,0,266
29,mean,0,108,236,2,267
29,mean,0,109,272,0,267
29,mean,0,110,258,0,267
29,mean,0,111,248,0,266
29,mean,0,112,262,0,267
29,mean,0,113,260,0,266
29,mean,0,114,236,0,267
29,mean,0,115,222,0,267
29,mean,0,116,238,0,266
29,mean,0,117,270,0,266
29,mean,0,118,300,0,267
29,mean,0,119,222,0,267
29,mean,0,120,252,0,267
29,mean,0,121,234,0,267
29,mean,0,122,246,0,265
29,mean,0,123,248,6,267
29,mean,0,124,222,0,267
29,mean,0,125,236,0,266
29,mean,0,126,242,0,267
29,mean,0,127,240,0,267
29,mean,0,128,274,0,266
29,mean,0,129,240,0,266
29,mean,0,130,228,0,267
29,mean,0,131,248,0,266
29,mean,0,132,220,2,266
29,mean,0,133,202,0,266
29,mean,0,134,214,0,267
29,mean,0,135,268,0,267
29,mean,0,136,236,0,267
29,mean,0,137,250,0,266
29,mean,0,138,286,0,267
29,mean,0,139,242,0,266
29,mean,0,140,254,0,267
29,mean,0,141,270,0,266
29,mean,0,142,260,2,267
29,mean,0,143,262,0,266
29,mean,0,144,288,0,334
29,mean,0,145,246,0,268
29,mean,0,146,222,0,266
29,mean,0,147,256,2,267
29,mean,0,148,220,4,266
29,mean,0,149,226,0,267
29,mean,0,150,234,0,267
29,mean,0,151,230,0,266
29,mean,0,152,226,0,267
29,mean,0,153,246,0,267
29,mean,0,154,258,2,267
29,mean,0,155,282,2,266
29,mean,0,156,266,0,267
29,mean,0,157,222,4,267
29,mean,0,158,278,0,333
29,mean,0,159,204,0,268
29,mean,0,160,252,0,267
29,mean,0,161,224,0,266
29,mean,0,162,226,2,267
29,mean,0,163,286,2,266
29,mean,0,164,254,0,267
29,mean,0,165,258,0,267
29,mean,0,166,250,0,265
29,mean,0,167,264,0,267
29,mean,0,168,196,0,266
29,mean,0,169,224,0,266
29,mean,0,170,222,0,267
29,mean,0,171,258,0,267
29,mean,0,172,218,2,266
29,mean,0,173,242,0,267
29,mean,0,174,280,0,267
29,mean,0,175,256,0,267
29,mean,0,176,218,0,267
29,mean,0,177,274,0,266
29,mean,0,178,242,0,267
29,mean,0,179,268,4,267
29,mean,0,180,240,0,266
29,mean,0,181,216,0,265
29,mean,0,182,274,0,267
29,mean,0,183,228,0,266
29,mean,0,184,244,0,266
29,mean,0,185,234,0,267
29,mean,0,186,212,0,267
29,mean,0,187,264,0,267
29,mean,0,188,320,0,331
29,mean,0,189,248,0,268
29,mean,0,190,250,0,266
29,mean,0,191,248,0,267
29,mean,0,192,228,0,268
29,mean,0,193,256,0,267
29,mean,0,194,240,2,267
29,mean,0,195,294,0,267
29,mean,0,196,240,0,266
29,mean,0,197,252,0,267
29,mean,0,198,224,0,266
29,mean,0,199,260,0,267
29,mean,0,200,280,0,267
29,mean,0,201,226,0,267
29,mean,0,202,264,0,267
29,mean,0,203,284,0,334
29,mean,0,204,230,0,268
29,mean,0,205,200,0,267
29,mean,0,206,248,0,335
29,mean,0,207,234,0,268
29,mean,0,208,222,0,267
29,mean,0,209,230,0,266
29,mean,0,210,230,0,266
29,mean,0,211,282,0,268
29,mean,0,212,224,2,266
29,mean,0,213,236,0,266
29,mean,0,214,212,0,267
29,mean,0,215,224,0,267
29,mean,0,216,270,4,267
29,mean,0,217,206,0,267
29,mean,0,218,220,0,266
29,mean,0,219,252,0,267
29,mean,0,220,250,0,267
29,mean,0,221,204,0,266
29,mean,0,222,254,0,267
29,mean,0,223,228,0,267
29,mean,0,224,312,0,331
29,mean,0,225,204,0,268
29,mean,0,226,254,0,268
29,mean,0,227,260,0,267
29,mean,0,228,242,0,266
29,mean,0,229,228,0,267
29,mean,0,230,282,0,267
29,mean,0,231,256,0,266
29,mean,0,232,236,0,266
29,mean,0,233,236,0,267
29,mean,0,234,294,2,267
29,mean,0,235,246,2,267
29,mean,0,236,222,0,267
29,mean,0,237,300,0,268
29,mean,0,238,230,0,266
29,mean,0,239,288,4,266
29,mean,0,240,274,0,264
29,mean,0,241,244,0,268
29,mean,0,242,246,2,266
29,mean,0,243,252,0,266
29,mean,0,244,254,0,267
29,mean,0,245,234,0,267
29,mean,0,246,244,0,266
29,mean,0,247,262,0,267
29,mean,0,248,218,0,266
29,mean,0,249,278,0,334
29,mean,0,250,244,0,268
29,mean,0,251,288,0,266
29,mean,0,252,236,0,267
29,mean,0,253,236,0,266
29,mean,0,254,276,0,266
29,mean,0,255,276,4,266
29,mean,0,256,266,0,267
29,mean,0,257,256,0,267
29,mean,0,258,214,0,267
29,mean,0,259,294,0,267
29,mean,0,260,264,0,267
29,mean,0,261,268,0,266
29,mean,0,262,270,0,266
29,mean,0,263,228,0,269
