edgebits,nonce,seconds,found,threads
23,0,0.365220,0,8
23,1,0.372912,0,8
23,2,0.382597,0,8
23,3,0.386353,0,8
23,4,0.385305,0,8
23,5,0.366458,0,8
23,6,0.366145,0,8
23,7,0.373220,0,8
23,8,0.365434,0,8
23,9,0.387225,0,8
23,10,0.381807,0,8
23,11,0.368441,0,8
23,12,0.364571,0,8
23,13,0.365027,0,8
23,14,0.385461,0,8
23,15,0.356969,0,8
23,16,0.366431,0,8
23,17,0.367030,0,8
23,18,0.379908,0,8
23,19,0.381910,0,8
23,20,0.389545,0,8
23,21,0.365276,0,8
23,22,0.367450,0,8
23,23,0.376257,0,8
23,24,0.363492,0,8
23,25,0.384800,0,8
23,26,0.372074,0,8
23,27,0.374542,0,8
23,28,0.374237,1,8
23,29,0.365133,0,8
23,30,0.365907,0,8
23,31,0.385316,0,8
23,32,0.389615,0,8
23,33,0.366738,0,8
23,34,0.355642,0,8
23,35,0.383027,0,8
23,36,0.356421,0,8
23,37,0.366798,0,8
23,38,0.365637,0,8
23,39,0.368098,0,8
23,40,0.369701,0,8
23,41,0.386515,0,8
23,42,0.360325,0,8
23,43,0.377460,0,8
23,44,0.374830,0,8
23,45,0.365570,0,8
23,46,0.384788,0,8
23,47,0.387919,0,8
23,48,0.367539,0,8
23,49,0.389485,0,8
23,50,0.375869,0,8
23,51,0.376468,0,8
23,52,0.378614,0,8
23,53,0.370586,0,8
23,54,0.371222,0,8
23,55,0.369522,0,8
23,56,0.366106,0,8
23,57,0.372200,0,8
23,58,0.391218,0,8
23,59,0.354411,0,8
23,60,0.361283,0,8
23,61,0.367132,0,8
23,62,0.365473,0,8
23,63,0.387686,0,8
23,64,0.365055,0,8
23,65,0.380431,0,8
23,66,0.384312,0,8
23,67,0.375278,0,8
23,68,0.389744,1,8
23,69,0.368634,0,8
23,70,0.363980,0,8
23,71,0.379054,0,8
23,72,0.359423,0,8
23,73,0.382199,0,8
23,74,0.367103,0,8
23,75,0.374904,0,8
23,76,0.384209,0,8
23,77,0.369480,0,8
23,78,0.367798,0,8
23,79,0.378889,0,8
23,80,0.357042,0,8
23,81,0.372440,0,8
23,82,0.380251,0,8
23,83,0.382599,0,8
23,84,0.380584,0,8
23,85,0.367160,0,8
23,86,0.367733,0,8
23,87,0.372567,0,8
23,88,0.371914,0,8
23,89,0.379710,0,8
23,90,0.370514,0,8
23,91,0.356439,0,8
23,92,0.369058,0,8
23,93,0.382190,0,8
23,94,0.403244,0,8
23,95,0.370587,0,8
23,96,0.376408,0,8
23,97,0.379757,0,8
23,98,0.366126,0,8
23,99,0.389707,0,8
23,100,0.377222,0,8
23,101,0.365615,0,8
23,102,0.368280,0,8
23,103,0.370085,0,8
23,104,0.391975,0,8
23,105,0.374092,0,8
23,106,0.377125,0,8
23,107,0.362217,0,8
23,108,0.366321,0,8
23,109,0.356543,0,8
23,110,0.365864,0,8
23,111,0.384979,0,8
23,112,0.357674,0,8
23,113,0.368442,1,8
23,114,0.365029,0,8
23,115,0.378805,0,8
23,116,0.360926,0,8
23,117,0.366980,0,8
23,118,0.372728,0,8
23,119,0.376670,0,8
23,120,0.370032,0,8
23,121,0.376823,0,8
23,122,0.357501,0,8
23,123,0.384589,0,8
23,124,0.369953,0,8
23,125,0.361254,0,8
23,126,0.377022,0,8
23,127,0.368541,0,8
23,128,0.368534,0,8
23,129,0.364963,0,8
23,130,0.367952,0,8
23,131,0.367983,0,8
23,132,0.373728,0,8
23,133,0.368308,0,8
23,134,0.381611,0,8
23,135,0.371032,0,8
23,136,0.367851,0,8
23,137,0.387466,0,8
23,138,0.369215,0,8
23,139,0.389264,0,8
23,140,0.368342,0,8
23,141,0.380331,0,8
23,142,0.379204,0,8
23,143,0.365870,0,8
23,144,0.364963,0,8
23,145,0.370657,0,8
23,146,0.365988,0,8
23,147,0.371629,0,8
23,148,0.401996,0,8
23,149,0.383041,0,8
23,150,0.370722,0,8
23,151,0.371460,0,8
23,152,0.360123,0,8
23,153,0.371471,0,8
23,154,0.356057,0,8
23,155,0.363303,0,8
23,156,0.373735,0,8
23,157,0.366821,0,8
23,158,0.368706,0,8
23,159,0.364247,0,8
23,160,0.374241,0,8
23,161,0.365964,0,8
23,162,0.369176,0,8
23,163,0.363893,0,8
23,164,0.386044,0,8
23,165,0.374066,0,8
23,166,0.372934,0,8
23,167,0.360023,0,8
23,168,0.374882,0,8
23,169,0.382609,0,8
23,170,0.367848,0,8
23,171,0.380668,0,8
23,172,0.371122,0,8
23,173,0.367064,0,8
23,174,0.363262,0,8
23,175,0.392759,0,8
23,176,0.369452,0,8
23,177,0.369430,0,8
23,178,0.386513,0,8
23,179,0.387523,0,8
23,180,0.368191,0,8
23,181,0.370242,0,8
23,182,0.365795,0,8
23,183,0.372369,0,8
23,184,0.374553,0,8
23,185,0.390148,0,8
23,186,0.388832,0,8
