edgebits,nonce,seconds,found,threads
24,0,0.742169,0,8
24,1,0.733435,0,8
24,2,0.750101,0,8
24,3,0.756951,0,8
24,4,0.742174,0,8
24,5,0.744191,0,8
24,6,0.726022,0,8
24,7,0.750489,0,8
24,8,0.743526,0,8
24,9,0.740337,0,8
24,10,0.734644,0,8
24,11,0.746599,0,8
24,12,0.763125,0,8
24,13,0.722461,0,8
24,14,0.738557,0,8
24,15,0.714505,0,8
24,16,0.755218,0,8
24,17,0.728537,0,8
24,18,0.739639,0,8
24,19,0.717473,0,8
24,20,0.729946,0,8
24,21,0.733753,0,8
24,22,0.731812,0,8
24,23,0.731588,0,8
24,24,0.733631,0,8
24,25,0.754221,0,8
24,26,0.725496,0,8
24,27,0.765349,0,8
24,28,0.758673,0,8
24,29,0.744086,0,8
24,30,0.752550,0,8
24,31,0.729693,0,8
24,32,0.791258,0,8
24,33,0.743012,0,8
24,34,0.733414,0,8
24,35,0.765900,0,8
24,36,0.735207,0,8
24,37,0.731638,0,8
24,38,0.750531,0,8
24,39,0.748210,0,8
24,40,0.738467,0,8
24,41,0.777800,0,8
24,42,0.702856,0,8
24,43,0.748244,0,8
24,44,0.738420,0,8
24,45,0.738975,0,8
24,46,0.726789,0,8
24,47,0.737745,0,8
24,48,0.710080,0,8
24,49,0.752951,0,8
24,50,0.741985,0,8
24,51,0.754898,0,8
24,52,0.757373,1,8
24,53,0.732229,1,8
24,54,0.735474,0,8
24,55,0.728448,0,8
24,56,0.742156,0,8
24,57,0.732079,0,8
24,58,0.737249,0,8
24,59,0.716931,0,8
24,60,0.726462,0,8
24,61,0.734988,0,8
24,62,0.746829,0,8
24,63,0.745139,0,8
24,64,0.738678,0,8
24,65,0.748618,0,8
24,66,0.774754,0,8
24,67,0.736973,0,8
24,68,0.737053,0,8
24,69,0.762596,0,8
24,70,0.728159,0,8
24,71,0.744058,0,8
24,72,0.740558,0,8
24,73,0.728103,0,8
24,74,0.748775,0,8
24,75,0.735464,0,8
24,76,0.738278,0,8
24,77,0.740202,0,8
24,78,0.741643,0,8
24,79,0.746076,0,8
24,80,0.738505,0,8
24,81,0.751415,0,8
24,82,0.742074,0,8
24,83,0.714494,0,8
24,84,0.755123,0,8
24,85,0.748027,0,8
24,86,0.741923,0,8
24,87,0.743100,0,8
24,88,0.730073,0,8
24,89,0.740280,0,8
24,90,0.728351,1,8
24,91,0.736708,0,8
24,92,0.731906,0,8
24,93,0.751181,0,8
24,94,0.728498,0,8
24,95,0.732048,0,8
24,96,0.739621,0,8
24,97,0.724453,0,8
24,98,0.748687,0,8
24,99,0.744001,0,8
24,100,0.733750,0,8
24,101,0.742748,0,8
24,102,0.732153,0,8
24,103,0.764645,1,8
24,104,0.740474,0,8
24,105,0.730225,0,8
24,106,0.752560,0,8
24,107,0.709968,0,8
24,108,0.705383,0,8
24,109,0.749781,0,8
24,110,0.745829,0,8
24,111,0.731863,0,8
24,112,0.724527,0,8
24,113,0.746630,0,8
24,114,0.767331,0,8
24,115,0.713070,0,8
24,116,0.735730,0,8
24,117,0.713897,0,8
24,118,0.736013,0,8
24,119,0.709637,0,8
24,120,0.764125,0,8
24,121,0.734806,0,8
24,122,0.735764,0,8
24,123,0.728422,0,8
24,124,0.770061,0,8
24,125,0.737105,0,8
24,126,0.747234,0,8
24,127,0.733681,0,8
24,128,0.736238,0,8
24,129,0.747388,0,8
24,130,0.748372,0,8
24,131,0.739865,0,8
24,132,0.730834,0,8
24,133,0.769901,1,8
24,134,0.733740,0,8
24,135,0.722117,0,8
24,136,0.728895,0,8
24,137,0.745717,0,8
24,138,0.741401,0,8
24,139,0.740930,0,8
24,140,0.738317,0,8
24,141,0.729032,0,8
24,142,0.750787,0,8
24,143,0.735011,0,8
24,144,0.743108,0,8
24,145,0.737855,0,8
24,146,0.702868,0,8
24,147,0.760771,0,8
24,148,0.735419,0,8
24,149,0.748845,0,8
24,150,0.738680,0,8
24,151,0.753499,0,8
24,152,0.742334,0,8
24,153,0.738809,0,8
24,154,0.748345,0,8
24,155,0.739399,0,8
24,156,0.734661,0,8
24,157,0.734796,0,8
24,158,0.748708,0,8
24,159,0.750847,0,8
24,160,0.762480,0,8
24,161,0.729699,0,8
24,162,0.728247,0,8
24,163,0.737189,0,8
24,164,0.728821,0,8
24,165,0.736905,0,8
24,166,0.752822,0,8
24,167,0.746871,0,8
24,168,0.738827,0,8
24,169,0.753651,0,8
24,170,0.741482,0,8
24,171,0.742396,0,8
24,172,0.713526,0,8
24,173,0.758261,0,8
24,174,0.745434,0,8
24,175,0.757990,1,8
24,176,0.751047,0,8
24,177,0.756693,0,8
24,178,0.732360,0,8
24,179,0.770833,0,8
24,180,0.731627,0,8
24,181,0.743562,0,8
24,182,0.731297,0,8
24,183,0.732235,0,8
24,184,0.737915,0,8
24,185,0.735255,0,8
24,186,0.737906,0,8
24,187,0.765095,0,8
24,188,0.744623,0,8
24,189,0.733170,0,8
24,190,0.730044,0,8
24,191,0.738832,0,8
24,192,0.737685,0,8
24,193,0.735177,0,8
24,194,0.742402,0,8
24,195,0.742634,0,8
24,196,0.723283,0,8
24,197,0.748391,0,8
24,198,0.764259,0,8
24,199,0.727360,0,8
24,200,0.741975,0,8
24,201,0.764340,0,8
24,202,0.730339,0,8
24,203,0.730053,0,8
24,204,0.741149,0,8
24,205,0.737858,0,8
24,206,0.745036,0,8
24,207,0.714600,1,8
24,208,0.714040,0,8
24,209,0.748521,0,8
24,210,0.744347,0,8
24,211,0.736863,0,8
24,212,0.751420,0,8
24,213,0.705558,0,8
24,214,0.776334,0,8
24,215,0.733791,1,8
24,216,0.745535,0,8
24,217,0.730009,0,8
24,218,0.717981,0,8
24,219,0.737497,0,8
24,220,0.757023,0,8
24,221,0.753190,0,8
24,222,0.709733,0,8
24,223,0.753283,0,8
24,224,0.750671,0,8
24,225,0.722176,0,8
24,226,0.716121,0,8
24,227,0.709062,0,8
24,228,0.734524,0,8
24,229,0.731294,0,8
24,230,0.738775,0,8
24,231,0.740492,0,8
24,232,0.745160,0,8
24,233,0.742648,0,8
24,234,0.729735,0,8
24,235,0.747045,0,8
24,236,0.710856,1,8
24,237,0.736633,0,8
24,238,0.735129,0,8
24,239,0.732189,0,8
24,240,0.742812,0,8
24,241,0.745773,0,8
24,242,0.750083,0,8
24,243,0.756918,0,8
24,244,0.731472,0,8
24,245,0.744759,0,8
24,246,0.766893,0,8
24,247,0.727974,0,8
24,248,0.740238,0,8
24,249,0.702384,0,8
24,250,0.737389,0,8
24,251,0.741569,0,8
24,252,0.727040,0,8
24,253,0.718516,0,8
24,254,0.747153,0,8
24,255,0.754659,0,8
24,256,0.730677,0,8
24,257,0.741780,0,8
24,258,0.718544,0,8
24,259,0.745086,0,8
24,260,0.738563,0,8
24,261,0.734381,0,8
24,262,0.729576,0,8
24,263,0.734487,0,8
24,264,0.740387,0,8
24,265,0.731973,0,8
24,266,0.741099,0,8
24,267,0.732389,0,8
24,268,0.772332,0,8
24,269,0.741273,0,8
24,270,0.716550,0,8
24,271,0.756358,0,8
24,272,0.738341,0,8
24,273,0.737740,0,8
24,274,0.740642,0,8
24,275,0.729787,0,8
24,276,0.736554,0,8
24,277,0.734282,0,8
24,278,0.747183,0,8
24,279,0.755310,0,8
24,280,0.723892,0,8
24,281,0.753142,0,8
24,282,0.731126,0,8
24,283,0.730943,0,8
24,284,0.731012,0,8
24,285,0.728413,0,8
24,286,0.726461,0,8
24,287,0.744613,0,8
24,288,0.725517,0,8
24,289,0.758627,0,8
24,290,0.738664,0,8
24,291,0.751641,0,8
24,292,0.733825,0,8
24,293,0.744094,0,8
24,294,0.712718,0,8
24,295,0.734837,0,8
24,296,0.755862,0,8
24,297,0.730642,0,8
24,298,0.750963,0,8
24,299,0.755762,0,8
24,300,0.735060,0,8
24,301,0.732805,0,8
24,302,0.750136,0,8
24,303,0.736762,0,8
24,304,0.734665,0,8
24,305,0.731716,0,8
24,306,0.748458,0,8
24,307,0.716950,0,8
24,308,0.751479,0,8
24,309,0.776078,0,8
24,310,0.739223,0,8
24,311,0.738746,0,8
24,312,0.740102,0,8
24,313,0.755371,0,8
24,314,0.769330,0,8
24,315,0.744506,0,8
24,316,0.734999,0,8
24,317,0.730992,0,8
24,318,0.727861,0,8
24,319,0.747896,1,8
24,320,0.734741,0,8
24,321,0.741168,0,8
24,322,0.740819,0,8
24,323,0.762221,0,8
24,324,0.704334,0,8
24,325,0.736569,0,8
24,326,0.729416,0,8
24,327,0.749135,0,8
24,328,0.735833,0,8
24,329,0.741400,0,8
24,330,0.764831,0,8
24,331,0.734173,0,8
24,332,0.706255,0,8
24,333,0.724965,0,8
24,334,0.734371,0,8
24,335,0.727241,0,8
24,336,0.764320,0,8
24,337,0.730817,0,8
24,338,0.743213,0,8
24,339,0.725106,0,8
24,340,0.745222,0,8
24,341,0.730210,0,8
24,342,0.759517,0,8
24,343,0.739723,0,8
24,344,0.731866,0,8
24,345,0.732322,0,8
24,346,0.735245,0,8
24,347,0.728306,0,8
24,348,0.738974,0,8
24,349,0.739746,0,8
24,350,0.744081,0,8
24,351,0.725568,0,8
24,352,0.736136,0,8
24,353,0.738693,0,8
24,354,0.733409,0,8
24,355,0.738678,0,8
24,356,0.750321,0,8
24,357,0.792539,0,8
24,358,0.723442,0,8
24,359,0.744748,0,8
24,360,0.805487,0,8
24,361,0.709123,0,8
24,362,0.726726,0,8
24,363,0.762078,0,8
24,364,0.738920,0,8
24,365,0.732206,0,8
24,366,0.732965,0,8
24,367,0.744934,0,8
24,368,0.730899,0,8
24,369,0.750021,0,8
24,370,0.733159,0,8
24,371,0.735022,0,8
24,372,0.747611,0,8
24,373,0.719930,0,8
24,374,0.713234,0,8
24,375,0.726140,0,8
24,376,0.741416,1,8
24,377,0.760537,0,8
24,378,0.728699,0,8
24,379,0.704581,0,8
24,380,0.726491,0,8
24,381,0.743053,0,8
24,382,0.727516,0,8
24,383,0.741952,0,8
24,384,0.732737,0,8
24,385,0.754131,0,8
24,386,0.736306,1,8
24,387,0.711671,0,8
24,388,0.743621,0,8
24,389,0.708145,0,8
24,390,0.747714,0,8
24,391,0.757068,0,8
24,392,0.758337,0,8
24,393,0.733295,0,8
24,394,0.736390,0,8
24,395,0.756653,0,8
24,396,0.758362,0,8
24,397,0.722360,0,8
24,398,0.745972,0,8
24,399,0.733269,0,8
24,400,0.735950,0,8
24,401,0.744023,0,8
24,402,0.734452,0,8
24,403,0.710420,0,8
24,404,0.771638,0,8
24,405,0.744690,0,8
24,406,0.733356,0,8
24,407,0.717805,0,8
24,408,0.734501,0,8
24,409,0.736113,0,8
24,410,0.736536,0,8
24,411,0.707238,0,8
24,412,0.732029,0,8
24,413,0.739617,0,8
24,414,0.708578,0,8
24,415,0.737497,0,8
24,416,0.734936,0,8
24,417,0.734401,0,8
24,418,0.769760,0,8
24,419,0.718809,0,8
24,420,0.755433,0,8
24,421,0.739130,1,8
24,422,0.733770,0,8
