edgebits,nonce,seconds,found,threads
27,0,9.046518,0,8
27,1,9.037457,0,8
27,2,9.074365,0,8
27,3,9.020305,0,8
27,4,9.032967,0,8
27,5,9.200458,0,8
27,6,8.989765,0,8
27,7,8.955123,0,8
27,8,9.038251,0,8
27,9,9.043617,0,8
27,10,9.034785,0,8
27,11,9.048665,0,8
27,12,9.142102,0,8
27,13,9.067991,0,8
27,14,9.044629,0,8
27,15,9.009375,0,8
27,16,9.047273,0,8
27,17,9.021875,0,8
27,18,8.959050,0,8
27,19,9.032187,0,8
27,20,9.008665,0,8
27,21,9.025940,0,8
27,22,9.042747,0,8
27,23,8.945915,0,8
27,24,9.003732,0,8
27,25,9.009123,0,8
27,26,9.009598,0,8
27,27,9.020840,0,8
27,28,8.994742,0,8
27,29,9.037808,0,8
27,30,9.016752,0,8
27,31,9.007280,0,8
27,32,9.052434,0,8
27,33,9.006960,0,8
27,34,9.050252,0,8
27,35,9.010704,0,8
27,36,9.053453,0,8
27,37,9.068593,0,8
27,38,9.161593,0,8
27,39,9.014133,0,8
27,40,8.960666,0,8
27,41,9.042152,0,8
27,42,9.029844,0,8
27,43,8.976372,0,8
27,44,9.003956,0,8
27,45,9.003864,0,8
27,46,9.019852,0,8
27,47,9.036847,0,8
27,48,9.029299,0,8
27,49,8.983439,0,8
27,50,9.034935,0,8
27,51,9.012121,0,8
27,52,9.020140,0,8
27,53,9.023570,0,8
27,54,8.999031,0,8
27,55,9.051810,0,8
27,56,8.990109,0,8
27,57,9.080433,0,8
27,58,8.975979,0,8
27,59,8.983806,0,8
27,60,9.015268,0,8
27,61,8.978456,0,8
27,62,9.002915,0,8
27,63,9.020881,0,8
27,64,8.959330,0,8
27,65,8.995571,1,8
27,66,9.022159,0,8
27,67,9.012383,0,8
27,68,9.023389,0,8
27,69,9.002432,0,8
27,70,9.014105,0,8
27,71,9.089402,0,8
27,72,9.109098,0,8
27,73,9.023725,0,8
27,74,9.004434,0,8
27,75,9.050032,0,8
27,76,9.042479,0,8
27,77,8.995071,0,8
27,78,9.097519,0,8
27,79,8.949927,0,8
27,80,9.053608,0,8
27,81,9.069515,0,8
27,82,9.041426,0,8
27,83,9.046134,0,8
27,84,9.021767,0,8
27,85,9.029790,0,8
27,86,9.023898,0,8
27,87,9.010711,0,8
27,88,9.009156,0,8
27,89,9.034838,0,8
27,90,9.021026,0,8
27,91,9.037396,0,8
27,92,9.073807,0,8
27,93,9.078884,0,8
27,94,9.000328,0,8
27,95,9.023275,0,8
27,96,9.043995,0,8
27,97,9.090599,0,8
27,98,8.972938,0,8
27,99,9.065931,0,8
27,100,9.020949,1,8
27,101,9.042647,0,8
27,102,9.012881,0,8
27,103,9.047525,0,8
27,104,9.079659,0,8
27,105,9.158470,0,8
27,106,9.013029,0,8
27,107,9.034188,0,8
27,108,9.063280,0,8
27,109,8.981628,0,8
27,110,9.012816,0,8
27,111,9.005599,0,8
27,112,9.032992,0,8
27,113,9.037988,0,8
27,114,9.040329,0,8
27,115,10.067690,0,8
27,116,9.023382,0,8
27,117,9.012541,0,8
27,118,9.031015,0,8
27,119,9.068003,0,8
27,120,9.071201,0,8
27,121,9.048312,0,8
27,122,8.987323,0,8
27,123,8.982268,0,8
27,124,8.976665,0,8
27,125,9.029993,0,8
27,126,9.003358,0,8
27,127,9.062622,0,8
27,128,9.068299,0,8
27,129,9.037611,0,8
27,130,8.994812,0,8
27,131,9.007770,0,8
27,132,9.026118,0,8
27,133,9.039416,0,8
27,134,9.056684,1,8
27,135,9.014703,0,8
27,136,9.047273,0,8
27,137,9.010565,0,8
27,138,9.121063,0,8
27,139,9.050316,0,8
27,140,9.039901,0,8
27,141,9.122187,0,8
27,142,9.045298,0,8
27,143,9.044532,0,8
27,144,9.068250,0,8
27,145,8.995630,0,8
27,146,9.005216,0,8
27,147,9.067504,0,8
27,148,9.027768,0,8
27,149,9.016423,0,8
27,150,9.030017,0,8
27,151,9.053436,0,8
27,152,9.045921,0,8
27,153,8.974562,0,8
27,154,9.013232,0,8
27,155,9.024917,0,8
27,156,8.991152,0,8
27,157,9.056759,0,8
27,158,9.047074,0,8
27,159,9.042895,0,8
27,160,9.026603,0,8
27,161,9.009114,0,8
27,162,9.066587,0,8
27,163,9.018847,0,8
27,164,8.996935,0,8
27,165,9.004261,0,8
27,166,9.008127,0,8
27,167,9.024156,0,8
27,168,9.035602,0,8
27,169,9.080304,0,8
27,170,9.034931,0,8
27,171,9.264661,0,8
27,172,9.028934,0,8
27,173,9.257905,0,8
27,174,9.024356,0,8
27,175,9.049616,0,8
27,176,9.087837,0,8
27,177,9.029512,0,8
27,178,9.032769,0,8
27,179,9.028231,0,8
27,180,9.048408,0,8
27,181,9.089475,0,8
27,182,9.018055,0,8
27,183,9.005207,0,8
27,184,8.970330,0,8
27,185,8.989591,0,8
27,186,8.991837,0,8
27,187,9.059547,0,8
27,188,9.051284,0,8
27,189,9.033444,0,8
27,190,9.009321,0,8
27,191,9.024982,0,8
27,192,9.044232,0,8
27,193,9.000287,0,8
27,194,8.976840,0,8
27,195,9.014284,0,8
27,196,8.986626,0,8
27,197,8.978205,0,8
27,198,9.009595,0,8
27,199,9.035514,0,8
