edgebits,nonce,seconds,found,threads
22,0,0.230443,0,8
22,1,0.229495,0,8
22,2,0.238256,0,8
22,3,0.229221,0,8
22,4,0.234613,0,8
22,5,0.231454,0,8
22,6,0.235130,1,8
22,7,0.230383,0,8
22,8,0.265473,0,8
22,9,0.246868,0,8
22,10,0.247503,0,8
22,11,0.237877,0,8
22,12,0.242322,0,8
22,13,0.227349,0,8
22,14,0.229580,0,8
22,15,0.241632,0,8
22,16,0.222940,0,8
22,17,0.236259,0,8
22,18,0.226682,0,8
22,19,0.242971,0,8
22,20,0.309628,0,8
22,21,0.319709,0,8
22,22,0.256641,0,8
22,23,0.298247,0,8
22,24,0.293286,1,8
22,25,0.326604,0,8
22,26,0.315432,0,8
22,27,0.315695,0,8
22,28,0.320172,0,8
22,29,0.313465,0,8
22,30,0.312180,0,8
22,31,0.318031,0,8
22,32,0.311793,0,8
22,33,0.306358,0,8
22,34,0.305045,0,8
22,35,0.311285,0,8
22,36,0.301456,0,8
22,37,0.314999,0,8
22,38,0.313821,0,8
22,39,0.306172,0,8
22,40,0.302233,0,8
22,41,0.299618,0,8
22,42,0.298711,0,8
22,43,0.303264,0,8
22,44,0.306586,0,8
22,45,0.319676,0,8
22,46,0.319603,0,8
22,47,0.324991,0,8
22,48,0.341665,0,8
22,49,0.376381,0,8
22,50,0.339593,0,8
22,51,0.313460,0,8
22,52,0.320109,0,8
22,53,0.298237,0,8
22,54,0.305710,1,8
22,55,0.297430,0,8
22,56,0.297697,0,8
22,57,0.339610,0,8
22,58,0.313348,0,8
22,59,0.334435,0,8
22,60,0.301107,0,8
22,61,0.316870,0,8
22,62,0.318546,1,8
22,63,0.316997,0,8
22,64,0.313778,0,8
22,65,0.316648,0,8
22,66,0.324222,0,8
22,67,0.311987,0,8
22,68,0.316962,0,8
22,69,0.316026,0,8
22,70,0.318983,0,8
22,71,0.326070,0,8
22,72,0.318689,0,8
22,73,0.338295,0,8
22,74,0.319915,0,8
22,75,0.305377,0,8
22,76,0.328867,0,8
22,77,0.315327,0,8
22,78,0.313532,0,8
22,79,0.330671,0,8
22,80,0.317801,0,8
22,81,0.307264,0,8
22,82,0.318206,0,8
22,83,0.299733,0,8
22,84,0.269146,0,8
22,85,0.273126,0,8
22,86,0.267329,0,8
22,87,0.269145,0,8
22,88,0.272640,0,8
22,89,0.275160,0,8
22,90,0.267651,0,8
22,91,0.274588,0,8
22,92,0.276760,0,8
22,93,0.276710,0,8
22,94,0.266898,0,8
22,95,0.279765,0,8
22,96,0.281559,0,8
22,97,0.275365,0,8
22,98,0.285125,0,8
22,99,0.270984,0,8
22,100,0.282538,0,8
22,101,0.278751,0,8
22,102,0.277311,0,8
22,103,0.271529,0,8
22,104,0.280665,0,8
22,105,0.276394,0,8
22,106,0.271759,0,8
22,107,0.269280,0,8
22,108,0.272531,0,8
22,109,0.273303,0,8
22,110,0.345635,0,8
22,111,0.341120,0,8
22,112,0.316751,0,8
22,113,0.321050,0,8
22,114,0.315502,0,8
22,115,0.320408,0,8
22,116,0.307166,0,8
22,117,0.281036,0,8
22,118,0.284502,0,8
22,119,0.276597,0,8
22,120,0.275380,0,8
22,121,0.248943,0,8
22,122,0.268192,0,8
22,123,0.277391,0,8
22,124,0.277309,0,8
22,125,0.244798,0,8
22,126,0.227931,0,8
22,127,0.236219,0,8
22,128,0.234885,0,8
22,129,0.255721,0,8
22,130,0.249445,0,8
22,131,0.229590,0,8
22,132,0.235745,0,8
22,133,0.241378,0,8
22,134,0.276614,0,8
22,135,0.278430,0,8
22,136,0.282728,0,8
22,137,0.271993,0,8
22,138,0.273278,0,8
22,139,0.276156,0,8
22,140,0.288994,0,8
22,141,0.270091,0,8
22,142,0.272111,0,8
22,143,0.266898,0,8
22,144,0.271954,0,8
22,145,0.268447,0,8
22,146,0.276837,0,8
22,147,0.273397,0,8
22,148,0.272951,0,8
22,149,0.276093,0,8
22,150,0.275558,0,8
22,151,0.277835,0,8
22,152,0.270180,0,8
22,153,0.264140,0,8
22,154,0.278390,0,8
22,155,0.273621,0,8
22,156,0.279771,0,8
22,157,0.273284,0,8
22,158,0.272820,0,8
22,159,0.277411,0,8
22,160,0.265903,0,8
22,161,0.278306,0,8
22,162,0.280885,0,8
22,163,0.289028,0,8
22,164,0.270880,0,8
22,165,0.273362,0,8
22,166,0.273090,0,8
22,167,0.269346,0,8
22,168,0.275333,0,8
22,169,0.273460,0,8
22,170,0.279010,0,8
22,171,0.267279,0,8
22,172,0.271200,0,8
22,173,0.266200,0,8
22,174,0.261030,0,8
22,175,0.271684,0,8
22,176,0.274974,0,8
22,177,0.272253,0,8
22,178,0.280788,0,8
22,179,0.275691,0,8
22,180,0.275533,0,8
22,181,0.263074,0,8
22,182,0.268484,0,8
22,183,0.295307,0,8
22,184,0.265842,0,8
22,185,0.271184,0,8
22,186,0.262518,0,8
22,187,0.263853,0,8
22,188,0.279057,0,8
22,189,0.268862,0,8
22,190,0.268632,0,8
22,191,0.271557,0,8
22,192,0.277594,0,8
22,193,0.271701,0,8
22,194,0.279129,0,8
22,195,0.266830,0,8
22,196,0.269435,0,8
22,197,0.261136,0,8
22,198,0.269663,0,8
22,199,0.276572,0,8
22,200,0.272366,0,8
22,201,0.270296,0,8
22,202,0.270298,0,8
22,203,0.257353,0,8
22,204,0.259988,0,8
22,205,0.271722,0,8
22,206,0.265373,0,8
22,207,0.281678,0,8
22,208,0.284579,0,8
22,209,0.291855,0,8
22,210,0.305089,0,8
22,211,0.299585,0,8
22,212,0.304051,0,8
22,213,0.316635,0,8
22,214,0.282056,0,8
22,215,0.285311,0,8
22,216,0.270792,0,8
22,217,0.263295,0,8
22,218,0.235456,0,8
22,219,0.296084,0,8
22,220,0.276582,0,8
22,221,0.274249,0,8
22,222,0.267652,1,8
22,223,0.270983,0,8
22,224,0.275736,1,8
22,225,0.272077,0,8
22,226,0.267000,0,8
22,227,0.275222,0,8
22,228,0.267409,0,8
22,229,0.271811,0,8
22,230,0.268039,0,8
22,231,0.269340,0,8
22,232,0.259184,0,8
22,233,0.274366,0,8
22,234,0.265985,0,8
22,235,0.271142,0,8
22,236,0.272289,0,8
22,237,0.268543,0,8
22,238,0.267918,0,8
22,239,0.265043,0,8
22,240,0.265347,0,8
22,241,0.265936,0,8
22,242,0.273493,0,8
22,243,0.271022,0,8
22,244,0.282618,0,8
22,245,0.267717,0,8
22,246,0.237304,0,8
22,247,0.216263,0,8
22,248,0.228197,0,8
22,249,0.224437,0,8
22,250,0.219678,0,8
22,251,0.226333,0,8
22,252,0.223191,0,8
22,253,0.212980,0,8
22,254,0.226210,0,8
22,255,0.218050,0,8
22,256,0.216421,0,8
22,257,0.220849,0,8
22,258,0.208875,0,8
22,259,0.230313,0,8
22,260,0.232716,0,8
22,261,0.232325,0,8
22,262,0.215685,0,8
22,263,0.234826,0,8
22,264,0.214869,0,8
22,265,0.225892,0,8
22,266,0.216673,0,8
22,267,0.247145,0,8
22,268,0.224986,0,8
22,269,0.234936,0,8
22,270,0.255147,0,8
22,271,0.222863,0,8
22,272,0.228763,0,8
22,273,0.243429,0,8
22,274,0.228235,0,8
22,275,0.219186,0,8
22,276,0.227928,0,8
22,277,0.235843,0,8
22,278,0.228652,0,8
22,279,0.232330,0,8
22,280,0.228626,0,8
22,281,0.219534,0,8
22,282,0.215301,0,8
22,283,0.216012,0,8
22,284,0.220649,0,8
22,285,0.236923,0,8
22,286,0.223443,0,8
22,287,0.218128,0,8
22,288,0.221296,0,8
22,289,0.224742,0,8
22,290,0.215036,0,8
22,291,0.231886,0,8
