edgebits,nonce,seconds,found,threads
26,0,3.165076,0,8
26,1,3.195523,0,8
26,2,3.164023,0,8
26,3,3.186298,0,8
26,4,3.176955,0,8
26,5,3.157657,0,8
26,6,3.188932,0,8
26,7,3.148272,0,8
26,8,3.164624,0,8
26,9,3.184557,0,8
26,10,3.214468,0,8
26,11,3.156071,0,8
26,12,3.150070,0,8
26,13,3.161136,0,8
26,14,3.143320,0,8
26,15,3.176850,0,8
26,16,3.193889,0,8
26,17,3.167179,0,8
26,18,3.160584,0,8
26,19,3.150333,0,8
26,20,3.151457,0,8
26,21,3.153909,0,8
26,22,3.193245,0,8
26,23,3.204610,0,8
26,24,3.151415,0,8
26,25,3.171963,0,8
26,26,3.152086,0,8
26,27,3.153595,0,8
26,28,3.179749,0,8
26,29,3.159432,0,8
26,30,3.170897,0,8
26,31,3.145907,0,8
26,32,3.190949,0,8
26,33,3.168950,0,8
26,34,3.137854,0,8
26,35,3.168551,0,8
26,36,3.152862,0,8
26,37,3.162072,0,8
26,38,3.192957,0,8
26,39,3.192721,0,8
26,40,3.142066,0,8
26,41,3.163130,0,8
26,42,3.218136,0,8
26,43,3.163443,0,8
26,44,3.191197,0,8
26,45,3.224302,1,8
26,46,3.178415,0,8
26,47,3.224701,0,8
26,48,3.171292,0,8
26,49,3.244452,0,8
26,50,3.308051,0,8
26,51,3.193547,0,8
26,52,3.194378,0,8
26,53,3.179846,0,8
26,54,3.231501,0,8
26,55,3.151249,0,8
26,56,3.185150,0,8
26,57,3.176217,0,8
26,58,3.156748,0,8
26,59,3.225382,0,8
26,60,3.208962,0,8
26,61,3.166484,0,8
26,62,3.177681,0,8
26,63,3.162832,0,8
26,64,3.169345,0,8
26,65,3.169413,0,8
26,66,3.192182,0,8
26,67,3.179365,0,8
26,68,3.158452,0,8
26,69,3.214668,0,8
26,70,3.156010,0,8
26,71,3.150642,0,8
26,72,3.183582,0,8
26,73,3.144601,0,8
26,74,3.158598,0,8
26,75,3.157176,0,8
26,76,3.204487,0,8
26,77,3.166063,0,8
26,78,3.147002,0,8
26,79,3.198189,0,8
26,80,3.139464,0,8
26,81,3.163609,0,8
26,82,3.186989,0,8
26,83,3.148101,0,8
26,84,3.163456,0,8
26,85,3.187397,0,8
26,86,3.142047,0,8
26,87,3.159488,0,8
26,88,3.180664,0,8
26,89,3.159616,0,8
26,90,3.168566,0,8
26,91,3.197971,0,8
26,92,3.154780,0,8
26,93,3.153333,0,8
26,94,3.176637,0,8
26,95,3.260135,0,8
26,96,3.199336,0,8
26,97,3.178385,0,8
26,98,3.197796,0,8
26,99,3.191039,0,8
26,100,3.176616,0,8
26,101,3.187913,0,8
26,102,3.164585,0,8
26,103,3.160438,0,8
26,104,3.187979,0,8
26,105,3.209226,0,8
26,106,3.163851,0,8
26,107,3.224884,0,8
26,108,3.164522,0,8
26,109,3.152036,0,8
26,110,3.200221,0,8
26,111,3.171164,0,8
26,112,3.171637,0,8
26,113,3.202032,0,8
26,114,3.192077,0,8
26,115,3.141713,0,8
26,116,3.166902,0,8
26,117,3.221962,0,8
26,118,3.185274,0,8
26,119,3.174586,0,8
26,120,3.178234,0,8
26,121,3.183185,0,8
26,122,3.161297,0,8
26,123,3.200187,0,8
26,124,3.176775,0,8
26,125,3.190315,0,8
26,126,3.378860,0,8
26,127,3.170464,0,8
26,128,3.174531,0,8
26,129,3.235215,0,8
26,130,3.161273,0,8
26,131,3.166319,0,8
26,132,3.234003,0,8
26,133,3.183537,0,8
26,134,3.164518,0,8
26,135,3.208762,0,8
26,136,3.161052,0,8
26,137,3.183564,0,8
26,138,3.187431,0,8
26,139,3.176865,0,8
26,140,3.180412,0,8
26,141,3.182662,0,8
26,142,3.215579,0,8
26,143,3.224111,0,8
26,144,3.283969,0,8
26,145,3.222953,0,8
26,146,3.177357,0,8
26,147,3.125912,0,8
26,148,3.178352,0,8
26,149,3.165319,0,8
26,150,3.171817,0,8
26,151,3.200424,0,8
26,152,3.174760,0,8
26,153,3.186350,0,8
26,154,3.199259,0,8
26,155,3.195650,0,8
26,156,3.177126,0,8
26,157,3.208009,0,8
26,158,3.193955,0,8
26,159,3.213217,0,8
26,160,3.227836,0,8
26,161,3.175850,0,8
26,162,3.170502,0,8
26,163,3.210060,0,8
26,164,3.168563,0,8
26,165,3.147955,0,8
26,166,3.167403,0,8
26,167,3.149840,0,8
26,168,3.171527,0,8
26,169,3.180149,1,8
26,170,3.145674,0,8
26,171,3.177710,0,8
26,172,3.160033,0,8
26,173,3.183201,0,8
26,174,3.169376,0,8
26,175,3.167276,0,8
26,176,3.198164,0,8
26,177,3.198461,0,8
26,178,3.085339,0,8
26,179,3.183511,0,8
26,180,3.174699,0,8
26,181,3.173495,0,8
26,182,3.191499,0,8
26,183,3.161454,0,8
26,184,3.190805,0,8
26,185,3.160251,0,8
26,186,3.209453,0,8
26,187,3.196826,0,8
26,188,3.166722,0,8
26,189,3.211070,0,8
26,190,3.183398,0,8
26,191,3.186806,0,8
26,192,3.188026,0,8
26,193,3.191315,0,8
26,194,3.187377,0,8
26,195,3.181715,0,8
26,196,3.156425,0,8
26,197,3.156668,0,8
26,198,3.213242,0,8
26,199,3.159428,0,8
26,200,3.163562,0,8
26,201,3.191953,0,8
26,202,3.151257,0,8
26,203,3.196987,0,8
26,204,3.191118,0,8
26,205,3.178179,0,8
26,206,3.148841,0,8
26,207,3.163609,0,8
26,208,3.223065,0,8
26,209,3.142173,0,8
26,210,3.173220,0,8
26,211,3.203756,0,8
26,212,3.171939,0,8
26,213,3.176019,0,8
26,214,3.205457,0,8
26,215,3.153444,0,8
26,216,3.171927,0,8
26,217,3.198931,0,8
26,218,3.164828,0,8
26,219,3.121108,0,8
26,220,3.188751,0,8
26,221,3.172903,0,8
26,222,3.209991,1,8
26,223,3.221600,0,8
26,224,3.187879,0,8
26,225,3.156972,0,8
26,226,3.192951,0,8
26,227,3.144339,0,8
26,228,3.187938,1,8
26,229,3.175355,0,8
26,230,3.202901,0,8
26,231,3.175488,0,8
26,232,3.144195,0,8
26,233,3.202057,0,8
26,234,3.183448,0,8
26,235,3.160633,0,8
26,236,3.208848,1,8
26,237,3.153808,0,8
26,238,3.376840,0,8
26,239,3.183431,0,8
26,240,3.188657,0,8
26,241,3.181299,0,8
26,242,3.207927,0,8
26,243,3.159542,0,8
26,244,3.174704,0,8
26,245,3.216210,0,8
26,246,3.189558,0,8
26,247,3.165097,0,8
26,248,3.219182,0,8
26,249,3.164315,0,8
26,250,3.162126,0,8
26,251,3.145640,0,8
26,252,3.211437,0,8
26,253,3.169891,0,8
26,254,3.162757,0,8
26,255,3.177407,0,8
26,256,3.181602,0,8
26,257,3.176459,0,8
26,258,3.207296,0,8
26,259,3.149213,0,8
26,260,3.155354,0,8
26,261,3.163109,0,8
26,262,3.167717,0,8
26,263,3.158851,0,8
26,264,3.233423,0,8
26,265,3.193900,0,8
26,266,3.179228,0,8
26,267,3.201865,0,8
26,268,3.175296,0,8
26,269,3.170356,0,8
26,270,3.210877,0,8
26,271,3.181166,0,8
26,272,3.159005,0,8
26,273,3.168728,0,8
26,274,3.192011,0,8
26,275,3.189486,0,8
26,276,3.167020,0,8
26,277,3.218859,0,8
26,278,3.231346,0,8
26,279,3.165397,0,8
26,280,3.225573,0,8
26,281,3.142866,0,8
26,282,3.166632,0,8
26,283,3.178125,0,8
26,284,3.196660,0,8
26,285,3.165690,0,8
26,286,3.194243,0,8
26,287,3.207753,0,8
26,288,3.164799,0,8
26,289,3.183521,0,8
26,290,3.159520,0,8
26,291,3.168105,0,8
26,292,3.227165,1,8
26,293,3.187622,0,8
26,294,3.174363,0,8
26,295,3.160966,0,8
26,296,3.217863,0,8
26,297,3.175184,0,8
26,298,3.177292,0,8
26,299,3.209474,0,8
26,300,3.182219,0,8
26,301,3.150434,0,8
26,302,3.208571,0,8
26,303,3.142764,0,8
26,304,3.140440,0,8
26,305,3.177052,0,8
26,306,3.177441,0,8
26,307,3.189502,0,8
26,308,3.186885,0,8
26,309,3.184453,0,8
26,310,3.188798,0,8
26,311,3.923540,0,8
26,312,3.983533,0,8
26,313,3.699828,0,8
26,314,5.509999,0,8
26,315,5.017508,0,8
26,316,4.660059,0,8
26,317,5.091289,0,8
26,318,3.574687,0,8
