solve_index,attempts,wall_ms,gpu_model,solver
186,7,33264.2,P104-100,lean
187,49,215049.1,P104-100,lean
188,8,36393.3,P104-100,lean
189,10,45034.1,P104-100,lean
190,1,6278.9,P104-100,lean
191,53,230314.3,P104-100,lean
192,19,84204.4,P104-100,lean
193,81,352824.5,P104-100,lean
194,22,97792.1,P104-100,lean
195,10,45010.8,P104-100,lean
196,26,114903.0,P104-100,lean
197,10,45537.7,P104-100,lean
198,16,71460.6,P104-100,lean
199,21,93081.3,P104-100,lean
200,25,110399.3,P104-100,lean
201,70,304058.8,P104-100,lean
202,58,253790.1,P104-100,lean
