edgebits,nonce,seconds,found,device,cycle
23,0,0.098640,0,0,
23,1,0.100676,0,0,
23,2,0.096364,0,0,
23,3,0.098086,0,0,
23,4,0.095748,0,0,
23,5,0.095496,0,0,
23,6,0.097772,0,0,
23,7,0.098444,0,0,
23,8,0.088971,0,0,
23,9,0.049504,0,0,
23,10,0.051852,0,0,
23,11,0.052058,0,0,
23,12,0.036612,0,0,
23,13,0.026666,0,0,
23,14,0.022218,0,0,
23,15,0.021527,0,0,
23,16,0.021094,0,0,
23,17,0.020780,0,0,
23,18,0.021477,0,0,
23,19,0.020935,0,0,
23,20,0.020781,0,0,
23,21,0.020300,0,0,
23,22,0.020043,0,0,
23,23,0.019768,0,0,
23,24,0.020175,0,0,
23,25,0.020000,0,0,
23,26,0.019911,0,0,
23,27,0.019975,0,0,
23,28,0.019572,1,0,836b 1d451 4867c 4ee08 66497 a082d a4022 10598e 116006 1df47b 1fbdb4 21454c 22566b 26dffb 275478 286f00 28c884 292be5 2b1dd1 307d73 311b77 34a8fa 3c02d9 402bf7 41cad0 43b0a5 492fc6 521373 522d31 542a37 567070 582192 5fafe6 63c4ee 649677 64dbfc 698870 6dc4a7 7014ca 7341ab 75635a 7f9cbc
23,29,0.019520,0,0,
23,30,0.019086,0,0,
23,31,0.019348,0,0,
23,32,0.020957,0,0,
23,33,0.019345,0,0,
23,34,0.019405,0,0,
23,35,0.020883,0,0,
23,36,0.018316,0,0,
23,37,0.019057,0,0,
23,38,0.019161,0,0,
23,39,0.019281,0,0,
23,40,0.018649,0,0,
23,41,0.020831,0,0,
23,42,0.019060,0,0,
23,43,0.019136,0,0,
23,44,0.018964,0,0,
23,45,0.018318,0,0,
23,46,0.020263,0,0,
23,47,0.019613,0,0,
23,48,0.019437,0,0,
23,49,0.018229,0,0,
23,50,0.020066,0,0,
23,51,0.021094,0,0,
23,52,0.018252,0,0,
23,53,0.021115,0,0,
23,54,0.018364,0,0,
23,55,0.018120,0,0,
23,56,0.018852,0,0,
23,57,0.017755,0,0,
23,58,0.019150,0,0,
23,59,0.019100,0,0,
23,60,0.019708,0,0,
23,61,0.019067,0,0,
23,62,0.018069,0,0,
23,63,0.019557,0,0,
23,64,0.018625,0,0,
23,65,0.020275,0,0,
23,66,0.018486,0,0,
23,67,0.017823,0,0,
23,68,0.019087,1,0,c32c1 d183f 12f318 130879 17804a 218c61 21bdf2 245a8b 24be05 2c633e 2cd53a 2d1965 2ed24c 36fb61 378391 3a6bc2 3a819a 3ad6af 3b2b5e 3b8013 3f87d2 41d0f6 46aed6 47566a 48e24e 4902b5 492f18 4981aa 4addd7 4c5496 4eb735 51af8d 55b5e1 5693c5 5d9444 619c9f 69b5fe 6a98fa 6cac17 75f042 7b7e80 7d8459
23,69,0.019308,0,0,
23,70,0.018695,0,0,
23,71,0.018854,0,0,
23,72,0.019162,0,0,
23,73,0.020021,0,0,
23,74,0.018800,0,0,
23,75,0.019306,0,0,
23,76,0.019225,0,0,
23,77,0.018845,0,0,
23,78,0.019039,0,0,
23,79,0.018991,0,0,
23,80,0.019503,0,0,
23,81,0.018399,0,0,
23,82,0.018034,0,0,
23,83,0.019537,0,0,
23,84,0.019895,0,0,
23,85,0.017444,0,0,
23,86,0.019757,0,0,
23,87,0.018734,0,0,
23,88,0.018772,0,0,
23,89,0.019840,0,0,
23,90,0.018690,0,0,
23,91,0.019506,0,0,
23,92,0.019465,0,0,
23,93,0.019096,0,0,
23,94,0.019544,0,0,
23,95,0.019119,0,0,
23,96,0.018446,0,0,
23,97,0.019068,0,0,
23,98,0.018188,0,0,
23,99,0.019212,0,0,
23,100,0.019359,0,0,
23,101,0.019020,0,0,
23,102,0.018579,0,0,
23,103,0.019646,0,0,
23,104,0.019742,0,0,
23,105,0.020203,0,0,
23,106,0.018161,0,0,
23,107,0.018725,0,0,
23,108,0.018908,0,0,
23,109,0.019266,0,0,
23,110,0.018292,0,0,
23,111,0.019347,0,0,
23,112,0.020025,0,0,
23,113,0.018588,1,0,a8cb af13a 13ef72 17605f 195242 1dba05 1ec3f8 1fac64 213d90 229087 24e78e 288266 2b970f 2bca47 2cfb30 2ddc79 2eac51 2eca0d 319c8f 339be1 33f5d7 3536e8 41dc18 42c138 434398 47fa66 4b97be 4e0665 504368 516514 537903 5ca9e9 5f0908 5ff378 659f13 672471 6910ce 6cec01 6e1b7a 75f125 791d23 7e76a9
23,114,0.018403,0,0,
23,115,0.018709,0,0,
23,116,0.019222,0,0,
23,117,0.018778,0,0,
23,118,0.019255,0,0,
23,119,0.020079,0,0,
23,120,0.018526,0,0,
23,121,0.020067,0,0,
23,122,0.018231,0,0,
23,123,0.018520,0,0,
23,124,0.018518,0,0,
23,125,0.019064,0,0,
23,126,0.019658,0,0,
23,127,0.019013,0,0,
23,128,0.017540,0,0,
23,129,0.017922,0,0,
23,130,0.019194,0,0,
23,131,0.018308,0,0,
23,132,0.018608,0,0,
23,133,0.018127,0,0,
23,134,0.018262,0,0,
23,135,0.018903,0,0,
23,136,0.019369,0,0,
23,137,0.019929,0,0,
23,138,0.019196,0,0,
23,139,0.019557,0,0,
23,140,0.020377,0,0,
23,141,0.018744,0,0,
23,142,0.019552,0,0,
23,143,0.018345,0,0,
23,144,0.019139,0,0,
23,145,0.018390,0,0,
23,146,0.018218,0,0,
23,147,0.019898,0,0,
23,148,0.019191,0,0,
23,149,0.018680,0,0,
23,150,0.021513,0,0,
23,151,0.019026,0,0,
23,152,0.019374,0,0,
23,153,0.018797,0,0,
23,154,0.018159,0,0,
23,155,0.018373,0,0,
23,156,0.019903,0,0,
23,157,0.018997,0,0,
23,158,0.019734,0,0,
23,159,0.019760,0,0,
23,160,0.020080,0,0,
23,161,0.017719,0,0,
23,162,0.018698,0,0,
23,163,0.017595,0,0,
23,164,0.018859,0,0,
23,165,0.021765,0,0,
23,166,0.019102,0,0,
23,167,0.018572,0,0,
23,168,0.019777,0,0,
23,169,0.018568,0,0,
23,170,0.020317,0,0,
23,171,0.018633,0,0,
23,172,0.018953,0,0,
23,173,0.019408,0,0,
23,174,0.017372,0,0,
23,175,0.020804,0,0,
23,176,0.019964,0,0,
23,177,0.020024,0,0,
23,178,0.021258,0,0,
23,179,0.018618,0,0,
23,180,0.019170,0,0,
23,181,0.018353,0,0,
23,182,0.018560,0,0,
23,183,0.018363,0,0,
23,184,0.018544,0,0,
23,185,0.019357,0,0,
23,186,0.018746,0,0,
23,187,0.018580,0,0,
23,188,0.019511,0,0,
23,189,0.018876,0,0,
23,190,0.020173,0,0,
23,191,0.019771,0,0,
23,192,0.018979,0,0,
23,193,0.018787,0,0,
23,194,0.017846,0,0,
23,195,0.018972,0,0,
23,196,0.019150,0,0,
23,197,0.018555,0,0,
23,198,0.019661,0,0,
23,199,0.019176,0,0,
23,200,0.020187,0,0,
23,201,0.019318,0,0,
23,202,0.020179,0,0,
23,203,0.017936,0,0,
23,204,0.018908,0,0,
23,205,0.019384,0,0,
23,206,0.018173,0,0,
23,207,0.020561,0,0,
23,208,0.018512,0,0,
23,209,0.019808,0,0,
23,210,0.018580,0,0,
23,211,0.018711,0,0,
23,212,0.017384,0,0,
23,213,0.019472,0,0,
23,214,0.019685,1,0,b0a6 1165c 2f4b6 4204e 52b77 fbae2 1661bc 1983fe 1a2469 1b4d8b 233f9b 2415f7 24b59c 28671d 2d83ab 2f21f1 346d61 3df8d7 3ea010 3f791b 48487f 49b3c7 4ac309 4cc684 4d9568 4e0f5e 501508 50168a 514601 51f4b5 560eeb 57ea46 5dad67 62079f 698ef4 6a717c 6b791b 6fb2ac 711789 793e66 7aa4ff 7d1044
23,215,0.018517,0,0,
23,216,0.019301,0,0,
