edgebits,nonce,seconds,found,device,cycle
28,0,1.161154,0,0,
28,1,1.160715,0,0,
28,2,1.163948,0,0,
28,3,1.159359,0,0,
28,4,1.154935,0,0,
28,5,1.164577,0,0,
28,6,1.186076,1,0,47f338 abeb31 1da6394 2428867 29b6750 35f88f5 362d0ac 37dcd94 41b18b4 47b4f98 49e02bd 4ab9c5c 50dd4e4 56c3f58 586d9c2 5efa6a2 7778bef 780fc7e 784bd52 85077d8 8cd50c0 8db9b97 9293389 9a86340 aa11e51 aefa3a1 b0fae80 bdc3cc6 c088075 d10d988 d23395c d74e15a d7cb4fa db36288 dc3dc20 e1a8711 e23f09a e353e4f e6406c4 e8f93db f606daa f6230a9
28,7,1.162895,0,0,
28,8,1.158582,0,0,
28,9,1.170574,0,0,
28,10,1.157728,0,0,
28,11,1.159157,0,0,
28,12,1.167034,1,0,1a76e8 9b2d54 d59149 11178c6 128a969 14fe553 165444c 18e6072 39e3360 3f8836f 432d257 4a875b5 4b5d850 4bb7d06 6ee4cc2 6fd8697 7355905 78ed4cf 7f4b546 8b2d49f 8cfc31c 936f6c6 9454a1c 94e446b 9845b55 9c2298c 9cf6772 a0774f6 b82b807 b9ff579 c202d59 c5028f0 c8ccbee c9180d7 d2c576f d65158c ddba2e4 e43314e e4495ff f03069c f30cd34 f69dd02
28,13,1.152133,0,0,
28,14,1.155575,0,0,
28,15,1.162754,0,0,
28,16,1.180128,1,0,afa62 46784f 77398c 91e582 ee06b0 21898f5 27d9d9d 334c5b0 33e6bfa 3ec85c1 4e357c1 4f7283d 505618c 5087371 595f147 5b49590 61e2f3a 6c61e27 72bb709 817807a 81d60bc 89a4674 8b8ac2e 9213af4 940255d 947a985 9c10dec a0b7e73 a45d205 a866720 aeef0fc c341b5c d1163b0 d29e324 d4ae9aa d4b46c2 d59e56e de7b9ad e046360 ea81564 f017708 fd1718c
28,17,1.156577,0,0,
28,18,1.162296,0,0,
28,19,1.153102,0,0,
28,20,1.153485,0,0,
28,21,1.161256,0,0,
28,22,1.153189,0,0,
28,23,1.155419,0,0,
28,24,1.160578,0,0,
28,25,1.164498,0,0,
28,26,1.161193,0,0,
28,27,1.163350,0,0,
28,28,1.167528,0,0,
28,29,1.158385,0,0,
28,30,1.162750,0,0,
28,31,1.168115,0,0,
28,32,1.152855,0,0,
28,33,1.157199,0,0,
28,34,1.156338,0,0,
28,35,1.160963,0,0,
28,36,1.154465,0,0,
28,37,1.150058,0,0,
28,38,1.154249,0,0,
28,39,1.162167,0,0,
28,40,1.150633,0,0,
28,41,1.162927,0,0,
28,42,1.172475,0,0,
28,43,1.161729,0,0,
28,44,1.158471,0,0,
28,45,1.150452,0,0,
28,46,1.160213,0,0,
28,47,1.175131,1,0,2e9dfc a4c3f0 10b1751 1bcfd50 1e12e56 255f1cb 2d5e216 36bbe5e 3c325c9 40c2ba2 45e74d6 4832fcb 4b57fa3 5d64c3b 6257b18 733dea0 75a6338 7d99711 7eb29ba 80e1717 839b873 877aef3 87e39a8 8d5e157 95b8475 a51754b a517bed aa3273e aabe629 abfdbe6 af2b9ad b19812f b68831c c504727 c634ae5 c74c5e7 cff2f18 e1b6502 ea012e9 f09e0b8 f5a4be4 fe69a69
28,48,1.166261,0,0,
28,49,1.162806,0,0,
28,50,1.154565,0,0,
28,51,1.150267,0,0,
28,52,1.166788,0,0,
28,53,1.163303,0,0,
28,54,1.154115,0,0,
28,55,1.164665,0,0,
28,56,1.144730,0,0,
28,57,1.161824,0,0,
28,58,1.149386,0,0,
28,59,1.159255,0,0,
28,60,1.155373,0,0,
28,61,1.150766,0,0,
28,62,1.162857,0,0,
28,63,1.161465,0,0,
28,64,1.162497,0,0,
28,65,1.159853,0,0,
28,66,1.162021,0,0,
28,67,1.158483,0,0,
28,68,1.151722,0,0,
28,69,1.163884,0,0,
28,70,1.154531,0,0,
28,71,1.164602,0,0,
28,72,1.158483,0,0,
28,73,1.153853,0,0,
28,74,1.160506,0,0,
28,75,1.160104,0,0,
28,76,1.170210,1,0,365242 770395 7d9a6b ef6b88 131b448 1d29143 26f336b 2a2fe7d 300decd 359cda6 3c06a0e 4806d91 4b778e0 539fe9d 53aa5cf 5e39727 5f4f331 663275c 6a64fc1 76561b8 76b8968 8238683 8341aaa 8fe8fa1 93f9219 96062db 997c8b3 a1bb8fa a38c02e a9a0c45 aff00b5 b2387fa c3cb857 c44f608 d18ec68 d208259 da45551 e0974fe e3d93aa ec24945 ee33c10 f8c5cc3
28,77,1.161365,0,0,
28,78,1.160775,0,0,
28,79,1.152500,0,0,
28,80,1.153753,0,0,
28,81,1.161836,0,0,
28,82,1.167300,0,0,
28,83,1.165699,0,0,
28,84,1.183543,1,0,3548e5 402e0f e41f1b 1fa2806 218aaac 236ea07 246499e 2f5814e 32c9221 416b289 418cb40 4b623f7 4fe30a9 524dc68 594acaf 5ca9668 6310e42 63f8adc 6a12aed 6e17b64 772df50 78bb83a 821e130 88b1c01 8c8b102 8e9ddee 935f4a8 9d623e6 a46af64 a602a2b a771209 ac12ac7 ac51e9a b28032a b342dbb b45a4b9 c569e72 e0e049c e2fede3 e43cc63 ef0846c f2fcbd5
28,85,1.162238,0,0,
28,86,1.157021,0,0,
28,87,1.155810,0,0,
28,88,1.173239,0,0,
28,89,1.149573,0,0,
28,90,1.156256,0,0,
28,91,1.166455,0,0,
28,92,1.158492,0,0,
28,93,1.158350,0,0,
28,94,1.152072,0,0,
28,95,1.167630,0,0,
28,96,1.158571,0,0,
28,97,1.158696,0,0,
28,98,1.163092,0,0,
28,99,1.153828,0,0,
28,100,1.160694,0,0,
28,101,1.165291,0,0,
28,102,1.156317,0,0,
28,103,1.159207,0,0,
28,104,1.156604,0,0,
28,105,1.154260,0,0,
28,106,1.152100,0,0,
28,107,1.156011,0,0,
28,108,1.158085,0,0,
28,109,1.160130,0,0,
28,110,1.167509,0,0,
28,111,1.155124,0,0,
28,112,1.159658,0,0,
28,113,1.164743,0,0,
28,114,1.155950,0,0,
28,115,1.166880,0,0,
28,116,1.166434,0,0,
28,117,1.158507,0,0,
28,118,1.163220,0,0,
28,119,1.156625,0,0,
28,120,1.159770,0,0,
28,121,1.154866,0,0,
28,122,1.148763,0,0,
28,123,1.151490,0,0,
28,124,1.156917,0,0,
28,125,1.156910,0,0,
28,126,1.146975,0,0,
28,127,1.154436,0,0,
28,128,1.164132,0,0,
28,129,1.153784,0,0,
28,130,1.164937,0,0,
28,131,1.149321,0,0,
28,132,1.157891,0,0,
28,133,1.157527,0,0,
28,134,1.157836,0,0,
28,135,1.160951,0,0,
28,136,1.159871,0,0,
28,137,1.151789,0,0,
28,138,1.168691,0,0,
28,139,1.162821,0,0,
28,140,1.164970,0,0,
28,141,1.159053,0,0,
28,142,1.168470,0,0,
28,143,1.163961,0,0,
28,144,1.161015,0,0,
28,145,1.166306,0,0,
28,146,1.166742,0,0,
28,147,1.161830,0,0,
28,148,1.167958,0,0,
28,149,1.158347,0,0,
28,150,1.165815,0,0,
28,151,1.168810,0,0,
28,152,1.153816,0,0,
28,153,1.161481,0,0,
28,154,1.155504,0,0,
28,155,1.155686,0,0,
28,156,1.165750,0,0,
28,157,1.152736,0,0,
28,158,1.156444,0,0,
28,159,1.166657,0,0,
28,160,1.158307,0,0,
28,161,1.151430,0,0,
28,162,1.153096,0,0,
28,163,1.167377,0,0,
28,164,1.165575,0,0,
28,165,1.155113,0,0,
28,166,1.164955,0,0,
28,167,1.157712,0,0,
28,168,1.154188,0,0,
28,169,1.167581,0,0,
28,170,1.157766,0,0,
28,171,1.159882,0,0,
28,172,1.166121,0,0,
28,173,1.151585,0,0,
28,174,1.164512,0,0,
28,175,1.154472,0,0,
28,176,1.163135,0,0,
28,177,1.160311,0,0,
28,178,1.154313,0,0,
28,179,1.156314,0,0,
28,180,1.152940,0,0,
28,181,1.165950,0,0,
28,182,1.160838,0,0,
28,183,1.160388,0,0,
28,184,1.156369,0,0,
28,185,1.161454,0,0,
28,186,1.160807,0,0,
28,187,1.158478,0,0,
28,188,1.163438,0,0,
28,189,1.158266,0,0,
28,190,1.159769,0,0,
28,191,1.159060,0,0,
28,192,1.170041,0,0,
28,193,1.158002,0,0,
28,194,1.159323,0,0,
28,195,1.154807,0,0,
28,196,1.165829,0,0,
28,197,1.155504,0,0,
28,198,1.161425,0,0,
28,199,1.155238,0,0,
28,200,1.163657,0,0,
28,201,1.157373,0,0,
28,202,1.161295,0,0,
28,203,1.170284,0,0,
28,204,1.154802,0,0,
28,205,1.159348,0,0,
28,206,1.158721,0,0,
28,207,1.157660,0,0,
28,208,1.146495,0,0,
28,209,1.165045,0,0,
28,210,1.156983,0,0,
28,211,1.155903,0,0,
28,212,1.169722,0,0,
28,213,1.157167,0,0,
28,214,1.160401,0,0,
28,215,1.154253,0,0,
28,216,1.159473,0,0,
28,217,1.159021,0,0,
28,218,1.157266,0,0,
28,219,1.164821,0,0,
28,220,1.163051,0,0,
28,221,1.152361,0,0,
28,222,1.160357,0,0,
28,223,1.164768,0,0,
28,224,1.149462,0,0,
28,225,1.154063,0,0,
28,226,1.160907,0,0,
28,227,1.153023,0,0,
28,228,1.154642,0,0,
28,229,1.157018,0,0,
28,230,1.178751,0,0,
28,231,1.159862,0,0,
28,232,1.167764,0,0,
28,233,1.159045,0,0,
28,234,1.156645,0,0,
28,235,1.157464,0,0,
28,236,1.154341,0,0,
28,237,1.156593,0,0,
28,238,1.157382,0,0,
28,239,1.155835,0,0,
28,240,1.155184,0,0,
28,241,1.160617,0,0,
28,242,1.165038,0,0,
28,243,1.156404,0,0,
28,244,1.157699,0,0,
28,245,1.157549,0,0,
28,246,1.162382,0,0,
28,247,1.162728,0,0,
28,248,1.154871,0,0,
28,249,1.188244,1,0,ae586 438e4a e912d3 10390a2 1596fb2 1e8ee98 23b5845 2e53de1 2f5b766 31eb69a 34ea21d 371e783 38c8c4e 420f4d3 454485a 518ad97 5341e34 5fc08f2 62fc6e8 6e3ecd6 6f15ee2 76e7623 798cb94 79ac57b 9b9f2c2 9c42f8b 9f47baa a5d0878 ab04382 b1cb0a5 b4f6b71 b5937ba bb2e032 c98fce8 d51abed d997255 de00fbc e306eab e5c8871 e90d824 ea2eeda ff43f50
28,250,1.159397,0,0,
28,251,1.149120,0,0,
28,252,1.156651,0,0,
28,253,1.161265,0,0,
28,254,1.155254,0,0,
28,255,1.158631,0,0,
28,256,1.171867,0,0,
28,257,1.158021,0,0,
28,258,1.166257,0,0,
28,259,1.167004,0,0,
28,260,1.164796,0,0,
28,261,1.154628,0,0,
28,262,1.156884,0,0,
28,263,1.156302,0,0,
28,264,1.156045,0,0,
28,265,1.159526,0,0,
28,266,1.150882,0,0,
28,267,1.164033,0,0,
28,268,1.171226,1,0,24b3a5 2b465a 9915a7 b40316 dbf3e5 112de3b 1380677 14cf373 27e69c8 290a8e1 2d46979 2e683ed 383d3c0 3a3f12d 3cc54a7 3f01b8b 419520f 4709d3f 49dec3d 5046af2 58a6c38 5ae006b 6786621 7819ea4 7964a09 7fbf141 80ac9c9 8f2d1f2 8fd347f 94a94d9 972e869 98ed96b a236c74 a288485 ab9d07e ad4d3cd b3f03c6 b50c174 b5dadf2 bbbb967 d1e79fd eb60c14
28,269,1.155743,0,0,
28,270,1.172016,1,0,4581c da008d ecad62 1167bb5 1240207 16561b5 1a04c40 2a4b29c 3d481b0 462104e 46d1ed5 4a8f5d7 4ce5f36 53da298 602c97c 61eb2c3 6379789 660bd25 6704e31 71958a2 7870b0a 82a00b2 85d542f 862f206 8996367 a22225e a426e26 a9be1eb aec4e0f b62b040 ba31d08 c053d8f c35d99d c850fd5 d506388 d9f24af e30b9e8 e765bec e9477f9 ed52a88 fc143ad fc4c33e
28,271,1.157104,0,0,
28,272,1.152394,0,0,
28,273,1.164701,0,0,
28,274,1.164571,0,0,
28,275,1.161490,0,0,
28,276,1.158596,0,0,
28,277,1.159341,0,0,
28,278,1.155693,0,0,
28,279,1.158655,0,0,
28,280,1.154519,0,0,
28,281,1.153164,0,0,
28,282,1.150871,0,0,
28,283,1.160909,0,0,
28,284,1.161507,0,0,
28,285,1.157689,0,0,
28,286,1.165541,0,0,
28,287,1.160359,0,0,
28,288,1.158902,0,0,
28,289,1.162152,0,0,
28,290,1.158552,0,0,
28,291,1.161506,0,0,
28,292,1.158332,0,0,
28,293,1.159814,0,0,
28,294,1.158172,0,0,
28,295,1.159374,0,0,
28,296,1.157950,0,0,
